Anderson, Harry S. Truman, Democratic, 49.97
Bedford, Harry S. Truman, Democratic, 55.64
Benton, Harry S. Truman, Democratic, 63.02
Bledsoe, Thomas Edmund Dewey, Republican, 49.07
Blount, Thomas Edmund Dewey, Republican, 64.47
Bradley, Thomas Edmund Dewey, Republican, 57.1
Campbell, Thomas Edmund Dewey, Republican, 54.92
Cannon, Harry S. Truman, Democratic, 66.2
Carroll, Harry S. Truman, Democratic, 45.65
Carter, Thomas Edmund Dewey, Republican, 70.94
Cheatham, Harry S. Truman, Democratic, 88.58
Chester, Harry S. Truman, Democratic, 50.52
Claiborne, Thomas Edmund Dewey, Republican, 53.5
Clay, Harry S. Truman, Democratic, 60.28
Cocke, Thomas Edmund Dewey, Republican, 77.5
Coffee, Harry S. Truman, Democratic, 56.68
Crockett, Harry S. Truman, Democratic, 53.6
Cumberland, Thomas Edmund Dewey, Republican, 53.43
Davidson, Harry S. Truman, Democratic, 55.46
Decatur, Harry S. Truman, Democratic, 51.82
DeKalb, Harry S. Truman, Democratic, 54.67
Dickson, Harry S. Truman, Democratic, 74.31
Dyer, Harry S. Truman, Democratic, 65.31
Fayette, James Strom Thurmond, Dixiecrat, 83.36
Fentress, Thomas Edmund Dewey, Republican, 60.25
Franklin, Harry S. Truman, Democratic, 66.08
Gibson, Harry S. Truman, Democratic, 65.6
Giles, Harry S. Truman, Democratic, 75.45
Grainger, Thomas Edmund Dewey, Republican, 71.75
Greene, Thomas Edmund Dewey, Republican, 55.56
Grundy, Harry S. Truman, Democratic, 78.02
Hamblen, Thomas Edmund Dewey, Republican, 53.8
Hamilton, Harry S. Truman, Democratic, 56.21
Hancock, Thomas Edmund Dewey, Republican, 77.38
Hardeman, Harry S. Truman, Democratic, 48.76
Hardin, Thomas Edmund Dewey, Republican, 54.29
Hawkins, Thomas Edmund Dewey, Republican, 62.5
Haywood, Harry S. Truman, Democratic, 49.32
Henderson, Thomas Edmund Dewey, Republican, 62.53
Henry, Harry S. Truman, Democratic, 76.99
Hickman, Harry S. Truman, Democratic, 74.36
Houston, Harry S. Truman, Democratic, 79.66
Humphreys, Harry S. Truman, Democratic, 59.24
Jackson, Harry S. Truman, Democratic, 68.68
Jefferson, Thomas Edmund Dewey, Republican, 74.12
Johnson, Thomas Edmund Dewey, Republican, 82.98
Knox, Thomas Edmund Dewey, Republican, 53.77
Lake, Harry S. Truman, Democratic, 55.46
Lauderdale, Harry S. Truman, Democratic, 65.89
Lawrence, Harry S. Truman, Democratic, 53.43
Lewis, Harry S. Truman, Democratic, 70.17
Lincoln, Harry S. Truman, Democratic, 72.63
Loudon, Thomas Edmund Dewey, Republican, 57.7
Macon, Thomas Edmund Dewey, Republican, 68.05
Madison, Harry S. Truman, Democratic, 52.48
Marion, Harry S. Truman, Democratic, 57.17
Marshall, Harry S. Truman, Democratic, 71.22
Maury, Harry S. Truman, Democratic, 51.57
McMinn, Thomas Edmund Dewey, Republican, 57.84
McNairy, Thomas Edmund Dewey, Republican, 48.1
Meigs, Harry S. Truman, Democratic, 49.56
Monroe, Thomas Edmund Dewey, Republican, 51.75
Montgomery, Harry S. Truman, Democratic, 73.47
Moore, Harry S. Truman, Democratic, 62.94
Morgan, Thomas Edmund Dewey, Republican, 50.89
Obion, Harry S. Truman, Democratic, 75.59
Overton, Harry S. Truman, Democratic, 63.17
Perry, Harry S. Truman, Democratic, 68.42
Pickett, Thomas Edmund Dewey, Republican, 59.08
Polk, Thomas Edmund Dewey, Republican, 51.14
Putnam, Harry S. Truman, Democratic, 56.33
Rhea, Thomas Edmund Dewey, Republican, 50.04
Roane, Thomas Edmund Dewey, Republican, 55.98
Robertson, Harry S. Truman, Democratic, 77.14
Rutherford, Harry S. Truman, Democratic, 68.3
Scott, Thomas Edmund Dewey, Republican, 66.67
Sequatchie, Harry S. Truman, Democratic, 66.06
Sevier, Thomas Edmund Dewey, Republican, 84.11
Shelby, James Strom Thurmond, Dixiecrat, 40.5
Smith, Harry S. Truman, Democratic, 62.38
Stewart, Harry S. Truman, Democratic, 81.38
Sullivan, Harry S. Truman, Democratic, 50.44
Sumner, Harry S. Truman, Democratic, 73.67
Tipton, Harry S. Truman, Democratic, 65.5
Trousdale, Harry S. Truman, Democratic, 82.51
Unicoi, Thomas Edmund Dewey, Republican, 67.35
Union, Thomas Edmund Dewey, Republican, 74.35
Van Buren, Harry S. Truman, Democratic, 65.03
Warren, Harry S. Truman, Democratic, 66.51
Washington, Thomas Edmund Dewey, Republican, 61.04
Wayne, Thomas Edmund Dewey, Republican, 68.38
Weakley, Harry S. Truman, Democratic, 64.02
White, Harry S. Truman, Democratic, 64.09
Williamson, Harry S. Truman, Democratic, 59.41
Wilson, Harry S. Truman, Democratic, 66.67
