Accomack County, Harry S. Truman, Democratic, 53.77
Albemarle County, Harry S. Truman, Democratic, 48.22
Alleghany County, Harry S. Truman, Democratic, 58.52
Amelia County, Harry S. Truman, Democratic, 41.87
Amherst County, Harry S. Truman, Democratic, 60.06
Appomattox County, Harry S. Truman, Democratic, 70.95
Arlington County, Thomas Edmund Dewey, Republican, 53.57
Augusta County, Thomas Edmund Dewey, Republican, 48.93
Bath County, Thomas Edmund Dewey, Republican, 52.03
Bedford County, Harry S. Truman, Democratic, 43.11
Bland County, Thomas Edmund Dewey, Republican, 50.49
Botetourt County, Thomas Edmund Dewey, Republican, 51.81
Brunswick County, Harry S. Truman, Democratic, 48.46
Buchanan County, Harry S. Truman, Democratic, 59.61
Buckingham County, Harry S. Truman, Democratic, 57.46
Campbell County, Harry S. Truman, Democratic, 54.03
Caroline County, Harry S. Truman, Democratic, 55.72
Carroll County, Thomas Edmund Dewey, Republican, 65.72
Charles City County, Harry S. Truman, Democratic, 51.91
Charlotte County, Harry S. Truman, Democratic, 57.83
Chesterfield County, Harry S. Truman, Democratic, 54.97
Clarke County, Harry S. Truman, Democratic, 41.62
Craig County, Harry S. Truman, Democratic, 57.29
Culpeper County, Harry S. Truman, Democratic, 47.32
Cumberland County, Harry S. Truman, Democratic, 52.15
Dickenson County, Harry S. Truman, Democratic, 56.94
Dinwiddie County, Harry S. Truman, Democratic, 64.07
Elizabeth City County, Harry S. Truman, Democratic, 57.31
Essex County, Harry S. Truman, Democratic, 50.54
Fairfax County, Thomas Edmund Dewey, Republican, 51.95
Fauquier County, Harry S. Truman, Democratic, 48.41
Floyd County, Thomas Edmund Dewey, Republican, 72.55
Fluvanna County, Harry S. Truman, Democratic, 52.46
Franklin County, Harry S. Truman, Democratic, 47.74
Frederick County, Harry S. Truman, Democratic, 51.75
Giles County, Harry S. Truman, Democratic, 49.09
Gloucester County, Harry S. Truman, Democratic, 56.44
Goochland County, Harry S. Truman, Democratic, 59.91
Grayson County, Thomas Edmund Dewey, Republican, 55.86
Greene County, Thomas Edmund Dewey, Republican, 58.82
Greensville County, Harry S. Truman, Democratic, 49.75
Halifax County, James Strom Thurmond, Dixiecrat, 51.86
Hanover County, Harry S. Truman, Democratic, 47.59
Henrico County, Harry S. Truman, Democratic, 46.7
Henry County, Harry S. Truman, Democratic, 51.95
Highland County, Thomas Edmund Dewey, Republican, 53.12
Isle of Wight County, Harry S. Truman, Democratic, 66.88
James City County, Harry S. Truman, Democratic, 44.49
King and Queen County, Harry S. Truman, Democratic, 53.56
King George County, Thomas Edmund Dewey, Republican, 43.89
King William County, Harry S. Truman, Democratic, 49.02
Lancaster County, Harry S. Truman, Democratic, 47.7
Lee County, Thomas Edmund Dewey, Republican, 50.76
Loudoun County, Harry S. Truman, Democratic, 47.61
Louisa County, Harry S. Truman, Democratic, 46.24
Lunenburg County, Harry S. Truman, Democratic, 65.54
Madison County, Thomas Edmund Dewey, Republican, 55.72
Mathews County, Thomas Edmund Dewey, Republican, 47.53
Mecklenburg County, Harry S. Truman, Democratic, 69.34
Middlesex County, Harry S. Truman, Democratic, 51.99
Montgomery County, Thomas Edmund Dewey, Republican, 59.6
Nansemond County, Harry S. Truman, Democratic, 76.27
Nelson County, Harry S. Truman, Democratic, 69.16
New Kent County, Harry S. Truman, Democratic, 53.89
Norfolk County, Harry S. Truman, Democratic, 66.24
Northampton County, Harry S. Truman, Democratic, 56.71
Northumberland County, Thomas Edmund Dewey, Republican, 46.68
Nottoway County, Harry S. Truman, Democratic, 51.15
Orange County, Harry S. Truman, Democratic, 46.22
Page County, Thomas Edmund Dewey, Republican, 55.14
Patrick County, Harry S. Truman, Democratic, 41.3
