Adams, Ronald Wilson Reagan, Republican, 62.17
Alexander, James Earl Carter, Democratic, 51.51
Bond, Ronald Wilson Reagan, Republican, 58.39
Boone, Ronald Wilson Reagan, Republican, 57.66
Brown, Ronald Wilson Reagan, Republican, 61.66
Bureau, Ronald Wilson Reagan, Republican, 61.79
Calhoun, Ronald Wilson Reagan, Republican, 54.96
Carroll, Ronald Wilson Reagan, Republican, 63.37
Cass, Ronald Wilson Reagan, Republican, 58.57
Champaign, Ronald Wilson Reagan, Republican, 50.99
Christian, Ronald Wilson Reagan, Republican, 54.69
Clark, Ronald Wilson Reagan, Republican, 63.19
Clay, Ronald Wilson Reagan, Republican, 61.2
Clinton, Ronald Wilson Reagan, Republican, 62.53
Coles, Ronald Wilson Reagan, Republican, 58.02
Cook, James Earl Carter, Democratic, 51.99
Crawford, Ronald Wilson Reagan, Republican, 60.7
Cumberland, Ronald Wilson Reagan, Republican, 59.73
DeKalb, Ronald Wilson Reagan, Republican, 53.91
DeWitt, Ronald Wilson Reagan, Republican, 63.29
Douglas, Ronald Wilson Reagan, Republican, 64.26
DuPage, Ronald Wilson Reagan, Republican, 64.02
Edgar, Ronald Wilson Reagan, Republican, 63.14
Edwards, Ronald Wilson Reagan, Republican, 68.14
Effingham, Ronald Wilson Reagan, Republican, 65.93
Fayette, Ronald Wilson Reagan, Republican, 62.67
Ford, Ronald Wilson Reagan, Republican, 69.64
Franklin, Ronald Wilson Reagan, Republican, 49.01
Fulton, Ronald Wilson Reagan, Republican, 54.42
Gallatin, Ronald Wilson Reagan, Republican, 49.05
Greene, Ronald Wilson Reagan, Republican, 59.33
Grundy, Ronald Wilson Reagan, Republican, 63.59
Hamilton, Ronald Wilson Reagan, Republican, 59.64
Hancock, Ronald Wilson Reagan, Republican, 62.32
Hardin, Ronald Wilson Reagan, Republican, 55.27
Henderson, Ronald Wilson Reagan, Republican, 57.54
Henry, Ronald Wilson Reagan, Republican, 59.93
Iroquois, Ronald Wilson Reagan, Republican, 73.38
Jackson, Ronald Wilson Reagan, Republican, 44.08
Jasper, Ronald Wilson Reagan, Republican, 63.22
Jefferson, Ronald Wilson Reagan, Republican, 54.91
Jersey, Ronald Wilson Reagan, Republican, 58.61
Jo Daviess, Ronald Wilson Reagan, Republican, 57.81
Johnson, Ronald Wilson Reagan, Republican, 65.49
Kane, Ronald Wilson Reagan, Republican, 61.77
Kankakee, Ronald Wilson Reagan, Republican, 58.25
Kendall, Ronald Wilson Reagan, Republican, 69.99
Knox, Ronald Wilson Reagan, Republican, 56.9
Lake, Ronald Wilson Reagan, Republican, 58.45
LaSalle, Ronald Wilson Reagan, Republican, 57.12
Lawrence, Ronald Wilson Reagan, Republican, 56.68
Lee, Ronald Wilson Reagan, Republican, 73.67
Livingston, Ronald Wilson Reagan, Republican, 68.62
Logan, Ronald Wilson Reagan, Republican, 67.39
Macon, Ronald Wilson Reagan, Republican, 52.45
Macoupin, Ronald Wilson Reagan, Republican, 54.27
Madison, Ronald Wilson Reagan, Republican, 51.1
Marion, Ronald Wilson Reagan, Republican, 58.73
Marshall, Ronald Wilson Reagan, Republican, 64.8
Mason, Ronald Wilson Reagan, Republican, 60.37
Massac, Ronald Wilson Reagan, Republican, 58.91
McDonough, Ronald Wilson Reagan, Republican, 61.66
McHenry, Ronald Wilson Reagan, Republican, 64.95
McLean, Ronald Wilson Reagan, Republican, 61.13
Menard, Ronald Wilson Reagan, Republican, 65.45
Mercer, Ronald Wilson Reagan, Republican, 56.18
Monroe, Ronald Wilson Reagan, Republican, 63.63
Montgomery, Ronald Wilson Reagan, Republican, 58.04
Morgan, Ronald Wilson Reagan, Republican, 61.22
Moultrie, Ronald Wilson Reagan, Republican, 56.73
Ogle, Ronald Wilson Reagan, Republican, 66.41
Peoria, Ronald Wilson Reagan, Republican, 57.26
Perry, Ronald Wilson Reagan, Republican, 55.49
Piatt, Ronald Wilson Reagan, Republican, 62.25
Pike, Ronald Wilson Reagan, Republican, 56.63
Pope, Ronald Wilson Reagan, Republican, 61.14
Pulaski, Ronald Wilson Reagan, Republican, 50.82
Putnam, Ronald Wilson Reagan, Republican, 57.38
Randolph, Ronald Wilson Reagan, Republican, 56.86
Richland, Ronald Wilson Reagan, Republican, 64.5
Rock Island, Ronald Wilson Reagan, Republican, 48.47
Saline, Ronald Wilson Reagan, Republican, 53.95
Sangamon, Ronald Wilson Reagan, Republican, 57.95
Schuyler, Ronald Wilson Reagan, Republican, 62.76
Scott, Ronald Wilson Reagan, Republican, 65.42
Shelby, Ronald Wilson Reagan, Republican, 59.12
St. Clair, James Earl Carter, Democratic, 49.71
Stark, Ronald Wilson Reagan, Republican, 69.76
Stephenson, Ronald Wilson Reagan, Republican, 52.87
Tazewell, Ronald Wilson Reagan, Republican, 62.84
Union, Ronald Wilson Reagan, Republican, 50.81
Vermilion, Ronald Wilson Reagan, Republican, 57.07
Wabash, Ronald Wilson Reagan, Republican, 61.18
Warren, Ronald Wilson Reagan, Republican, 62.47
Washington, Ronald Wilson Reagan, Republican, 68.98
Wayne, Ronald Wilson Reagan, Republican, 62.92
White, Ronald Wilson Reagan, Republican, 58.19
Whiteside, Ronald Wilson Reagan, Republican, 66.72
Will, Ronald Wilson Reagan, Republican, 57.44
Williamson, Ronald Wilson Reagan, Republican, 55.1
Winnebago, Ronald Wilson Reagan, Republican, 46.46
Woodford, Ronald Wilson Reagan, Republican, 70.68
