Accomack County, Ronald Reagan, Republican, 50.21
Albemarle County, Ronald Reagan, Republican, 53.23
Alleghany County, Jimmy Carter, Democratic, 50.69
Amelia County, Ronald Reagan, Republican, 53.2
Amherst County, Ronald Reagan, Republican, 57.56
Appomattox County, Ronald Reagan, Republican, 60.42
Arlington County, Ronald Reagan, Republican, 46.15
Augusta County, Ronald Reagan, Republican, 64.32
Bath County, Jimmy Carter, Democratic, 49.78
Bedford County, Ronald Reagan, Republican, 55.81
Bland County, Ronald Reagan, Republican, 54.5
Botetourt County, Ronald Reagan, Republican, 51.24
Brunswick County, Jimmy Carter, Democratic, 58.49
Buchanan County, Jimmy Carter, Democratic, 54.27
Buckingham County, Jimmy Carter, Democratic, 49.27
Campbell County, Ronald Reagan, Republican, 65.16
Caroline County, Jimmy Carter, Democratic, 56.73
Carroll County, Ronald Reagan, Republican, 61.29
Charles City County, Jimmy Carter, Democratic, 73.39
Charlotte County, Ronald Reagan, Republican, 51.26
Chesterfield County, Ronald Reagan, Republican, 70.71
Clarke County, Ronald Reagan, Republican, 57.44
Craig County, Jimmy Carter, Democratic, 53.18
Culpeper County, Ronald Reagan, Republican, 59.43
Cumberland County, Ronald Reagan, Republican, 50.1
Dickenson County, Jimmy Carter, Democratic, 52.25
Dinwiddie County, Jimmy Carter, Democratic, 49.52
Essex County, Ronald Reagan, Republican, 52.93
Fairfax County, Ronald Reagan, Republican, 57.41
Fauquier County, Ronald Reagan, Republican, 58.11
Floyd County, Ronald Reagan, Republican, 56.6
Fluvanna County, Ronald Reagan, Republican, 50.41
Franklin County, Jimmy Carter, Democratic, 51.26
Frederick County, Ronald Reagan, Republican, 67.61
Giles County, Jimmy Carter, Democratic, 52.26
Gloucester County, Ronald Reagan, Republican, 53.96
Goochland County, Ronald Reagan, Republican, 49.68
Grayson County, Ronald Reagan, Republican, 53.37
Greene County, Ronald Reagan, Republican, 60.55
Greensville County, Jimmy Carter, Democratic, 56.37
Halifax County, Ronald Reagan, Republican, 51.73
Hanover County, Ronald Reagan, Republican, 70.02
Henrico County, Ronald Reagan, Republican, 66.85
Henry County, Jimmy Carter, Democratic, 49.49
Highland County, Ronald Reagan, Republican, 58.76
Isle of Wight County, Jimmy Carter, Democratic, 50.76
James City County, Ronald Reagan, Republican, 53.29
King and Queen County, Jimmy Carter, Democratic, 52.47
King George County, Ronald Reagan, Republican, 53.54
King William County, Ronald Reagan, Republican, 56.54
Lancaster County, Ronald Reagan, Republican, 61.01
Lee County, Jimmy Carter, Democratic, 50.74
Loudoun County, Ronald Reagan, Republican, 58.93
Louisa County, Jimmy Carter, Democratic, 49.23
Lunenburg County, Ronald Reagan, Republican, 49.44
Madison County, Ronald Reagan, Republican, 55.64
Mathews County, Ronald Reagan, Republican, 59.31
Mecklenburg County, Ronald Reagan, Republican, 54.45
Middlesex County, Ronald Reagan, Republican, 54.13
Montgomery County, Ronald Reagan, Republican, 47.41
Nelson County, Jimmy Carter, Democratic, 53.6
New Kent County, Ronald Reagan, Republican, 57.3
Northampton County, Jimmy Carter, Democratic, 49.82
Northumberland County, Ronald Reagan, Republican, 60
Nottoway County, Ronald Reagan, Republican, 50.13
Orange County, Ronald Reagan, Republican, 54.9
Page County, Ronald Reagan, Republican, 60.2
Patrick County, Ronald Reagan, Republican, 56.12
Pittsylvania County, Ronald Reagan, Republican, 59.28
Powhatan County, Ronald Reagan, Republican, 64.18
Prince Edward County, Ronald Reagan, Republican, 49.55
Prince George County, Ronald Reagan, Republican, 57.56
Prince William County, Ronald Reagan, Republican, 58.95
Pulaski County, Jimmy Carter, Democratic, 47.92
Rappahannock County, Ronald Reagan, Republican, 49.81
Richmond County, Ronald Reagan, Republican, 62.81
Roanoke County, Ronald Reagan, Republican, 55.76
Rockbridge County, Ronald Reagan, Republican, 49.04
Rockingham County, Ronald Reagan, Republican, 63.82
Russell County, Jimmy Carter, Democratic, 53.01
Scott County, Ronald Reagan, Republican, 50.54
Shenandoah County, Ronald Reagan, Republican, 67.1
Smyth County, Ronald Reagan, Republican, 50.86
Southampton County, Jimmy Carter, Democratic, 50.81
Spotsylvania County, Ronald Reagan, Republican, 53.82
Stafford County, Ronald Reagan, Republican, 58.85
Surry County, Jimmy Carter, Democratic, 62.25
Sussex County, Jimmy Carter, Democratic, 57.27
Tazewell County, Ronald Reagan, Republican, 48.67
Warren County, Ronald Reagan, Republican, 55.79
Washington County, Ronald Reagan, Republican, 53.87
Westmoreland County, Ronald Reagan, Republican, 50.31
Wise County, Jimmy Carter, Democratic, 51.59
Wythe County, Ronald Reagan, Republican, 54.28
York County, Ronald Reagan, Republican, 55.58
Alexandria City, Ronald Reagan, Republican, 44.23
Bedford City, Jimmy Carter, Democratic, 47.42
Bristol City, Ronald Reagan, Republican, 52.68
Buena Vista City, Jimmy Carter, Democratic, 49.35
Charlottesville City, Jimmy Carter, Democratic, 47.15
Chesapeake City, Ronald Reagan, Republican, 48.47
Clifton Forge City, Jimmy Carter, Democratic, 55.45
Colonial Heights City, Ronald Reagan, Republican, 70.96
Covington City, Jimmy Carter, Democratic, 57.56
Danville City, Ronald Reagan, Republican, 61.43
