Appling, James Earl Carter, Democratic, 59.62
Atkinson, James Earl Carter, Democratic, 65.21
Bacon, James Earl Carter, Democratic, 52.22
Baker, James Earl Carter, Democratic, 66.18
Baldwin, James Earl Carter, Democratic, 52.46
Banks, James Earl Carter, Democratic, 72.91
Barrow, James Earl Carter, Democratic, 61.44
Bartow, James Earl Carter, Democratic, 69.01
Ben Hill, James Earl Carter, Democratic, 62.55
Berrien, James Earl Carter, Democratic, 65.15
Bibb, James Earl Carter, Democratic, 66.01
Bleckley, James Earl Carter, Democratic, 58.55
Brantley, James Earl Carter, Democratic, 69.4
Brooks, James Earl Carter, Democratic, 58.27
Bryan, James Earl Carter, Democratic, 60.77
Bulloch, James Earl Carter, Democratic, 55.16
Burke, James Earl Carter, Democratic, 61.05
Butts, James Earl Carter, Democratic, 66.94
Calhoun, James Earl Carter, Democratic, 67.75
Camden, James Earl Carter, Democratic, 65.81
Candler, James Earl Carter, Democratic, 56.09
Carroll, James Earl Carter, Democratic, 56.66
Catoosa, Ronald Wilson Reagan, Republican, 53.91
Charlton, James Earl Carter, Democratic, 64.26
Chatham, James Earl Carter, Democratic, 50.04
Chattahoochee, James Earl Carter, Democratic, 63.3
Chattooga, James Earl Carter, Democratic, 67.6
Cherokee, James Earl Carter, Democratic, 51.55
Clarke, James Earl Carter, Democratic, 52.86
Clay, James Earl Carter, Democratic, 73.25
Clayton, Ronald Wilson Reagan, Republican, 50.35
Clinch, James Earl Carter, Democratic, 71.08
Cobb, Ronald Wilson Reagan, Republican, 54.25
Coffee, James Earl Carter, Democratic, 60.99
Colquitt, James Earl Carter, Democratic, 59.03
Columbia, Ronald Wilson Reagan, Republican, 52.71
Cook, James Earl Carter, Democratic, 66.8
Coweta, James Earl Carter, Democratic, 54.66
Crawford, James Earl Carter, Democratic, 70.44
Crisp, James Earl Carter, Democratic, 63.64
Dade, Ronald Wilson Reagan, Republican, 53.81
Dawson, James Earl Carter, Democratic, 58.36
Decatur, James Earl Carter, Democratic, 51.93
DeKalb, James Earl Carter, Democratic, 49.43
Dodge, James Earl Carter, Democratic, 71.83
Dooly, James Earl Carter, Democratic, 67.5
Dougherty, James Earl Carter, Democratic, 50.46
Douglas, Ronald Wilson Reagan, Republican, 48.78
Early, James Earl Carter, Democratic, 57.31
Echols, James Earl Carter, Democratic, 65.77
Effingham, James Earl Carter, Democratic, 51.76
Elbert, James Earl Carter, Democratic, 66.23
Emanuel, James Earl Carter, Democratic, 63.53
Evans, James Earl Carter, Democratic, 56.54
Fannin, Ronald Wilson Reagan, Republican, 54.83
Fayette, Ronald Wilson Reagan, Republican, 60.2
Floyd, James Earl Carter, Democratic, 58.1
Forsyth, James Earl Carter, Democratic, 55.91
Franklin, James Earl Carter, Democratic, 71.13
Fulton, James Earl Carter, Democratic, 61.62
Gilmer, James Earl Carter, Democratic, 49.5
