Adams, Ronald Wilson Reagan, Republican, 50.69
Ashland, James Earl Carter, Democratic, 51.46
Barron, Ronald Wilson Reagan, Republican, 47.05
Bayfield, James Earl Carter, Democratic, 47.57
Brown, Ronald Wilson Reagan, Republican, 56.72
Buffalo, Ronald Wilson Reagan, Republican, 48.11
Burnett, James Earl Carter, Democratic, 47.37
Calumet, Ronald Wilson Reagan, Republican, 55.17
Chippewa, Ronald Wilson Reagan, Republican, 48.06
Clark, Ronald Wilson Reagan, Republican, 52.73
Columbia, Ronald Wilson Reagan, Republican, 49.9
Crawford, Ronald Wilson Reagan, Republican, 50.08
Dane, James Earl Carter, Democratic, 50.84
Dodge, Ronald Wilson Reagan, Republican, 57.7
Door, Ronald Wilson Reagan, Republican, 55.23
Douglas, James Earl Carter, Democratic, 55.21
Dunn, James Earl Carter, Democratic, 45.31
Eau Claire, James Earl Carter, Democratic, 45.22
Florence, Ronald Wilson Reagan, Republican, 52.52
Fond du Lac, Ronald Wilson Reagan, Republican, 56.97
Forest, James Earl Carter, Democratic, 51.39
Grant, Ronald Wilson Reagan, Republican, 55.82
Green, Ronald Wilson Reagan, Republican, 54.03
Green Lake, Ronald Wilson Reagan, Republican, 63.42
Iowa, James Earl Carter, Democratic, 46.2
Iron, James Earl Carter, Democratic, 48.27
Jackson, Ronald Wilson Reagan, Republican, 50.8
Jefferson, Ronald Wilson Reagan, Republican, 53.91
Juneau, Ronald Wilson Reagan, Republican, 55.14
Kenosha, James Earl Carter, Democratic, 47.86
Kewaunee, Ronald Wilson Reagan, Republican, 57.05
La Crosse, Ronald Wilson Reagan, Republican, 51.73
Lafayette, Ronald Wilson Reagan, Republican, 51.46
Langlade, Ronald Wilson Reagan, Republican, 49.3
Lincoln, Ronald Wilson Reagan, Republican, 50.75
Manitowoc, Ronald Wilson Reagan, Republican, 48
Marathon, Ronald Wilson Reagan, Republican, 48.34
Marinette, Ronald Wilson Reagan, Republican, 54.49
Marquette, Ronald Wilson Reagan, Republican, 54.78
Menominee, James Earl Carter, Democratic, 58.12
Milwaukee, James Earl Carter, Democratic, 51.76
Monroe, Ronald Wilson Reagan, Republican, 51.87
Oconto, Ronald Wilson Reagan, Republican, 58.01
Oneida, Ronald Wilson Reagan, Republican, 51.19
Outagamie, Ronald Wilson Reagan, Republican, 52.99
Ozaukee, Ronald Wilson Reagan, Republican, 61
Pepin, James Earl Carter, Democratic, 48.2
Pierce, James Earl Carter, Democratic, 57.82
Polk, James Earl Carter, Democratic, 46.68
Portage, James Earl Carter, Democratic, 53.56
Price, Ronald Wilson Reagan, Republican, 49.3
Racine, Ronald Wilson Reagan, Republican, 49.76
Richland, Ronald Wilson Reagan, Republican, 53.57
Rock, Ronald Wilson Reagan, Republican, 50.6
Rusk, Ronald Wilson Reagan, Republican, 47.52
Sauk, Ronald Wilson Reagan, Republican, 49.48
Sawyer, Ronald Wilson Reagan, Republican, 50.07
Shawano, Ronald Wilson Reagan, Republican, 60.96
Sheboygan, Ronald Wilson Reagan, Republican, 47.42
St. Croix, James Earl Carter, Democratic, 46.87
Taylor, Ronald Wilson Reagan, Republican, 51.31
Trempealeau, Ronald Wilson Reagan, Republican, 49.52
Vernon, Ronald Wilson Reagan, Republican, 51.11
Vilas, Ronald Wilson Reagan, Republican, 60.8
Walworth, Ronald Wilson Reagan, Republican, 56.9
Washburn, Ronald Wilson Reagan, Republican, 46.41
Washington, Ronald Wilson Reagan, Republican, 58.81
Waukesha, Ronald Wilson Reagan, Republican, 58.25
Waupaca, Ronald Wilson Reagan, Republican, 61.71
Waushara, Ronald Wilson Reagan, Republican, 61.43
Winnebago, Ronald Wilson Reagan, Republican, 53.28
Wood, Ronald Wilson Reagan, Republican, 52.19
