Anderson, Ronald Wilson Reagan, Republican, 55.31
Bedford, James Earl Carter, Democratic, 62.48
Benton, James Earl Carter, Democratic, 61.54
Bledsoe, Ronald Wilson Reagan, Republican, 54.94
Blount, Ronald Wilson Reagan, Republican, 63.81
Bradley, Ronald Wilson Reagan, Republican, 59.63
Campbell, Ronald Wilson Reagan, Republican, 52.99
Cannon, James Earl Carter, Democratic, 61.59
Carroll, Ronald Wilson Reagan, Republican, 50.98
Carter, Ronald Wilson Reagan, Republican, 64.44
Cheatham, James Earl Carter, Democratic, 60.81
Chester, Ronald Wilson Reagan, Republican, 55.69
Claiborne, Ronald Wilson Reagan, Republican, 59.05
Clay, James Earl Carter, Democratic, 49.76
Cocke, Ronald Wilson Reagan, Republican, 74.39
Coffee, James Earl Carter, Democratic, 56.84
Crockett, James Earl Carter, Democratic, 52.79
Cumberland, Ronald Wilson Reagan, Republican, 60.89
Davidson, James Earl Carter, Democratic, 59.08
DeKalb, James Earl Carter, Democratic, 60.56
Decatur, James Earl Carter, Democratic, 49.98
Dickson, James Earl Carter, Democratic, 63.27
Dyer, James Earl Carter, Democratic, 50.08
Fayette, James Earl Carter, Democratic, 57.55
Fentress, Ronald Wilson Reagan, Republican, 60.76
Franklin, James Earl Carter, Democratic, 60.96
Gibson, James Earl Carter, Democratic, 58.08
Giles, James Earl Carter, Democratic, 61.74
Grainger, Ronald Wilson Reagan, Republican, 67.12
Greene, Ronald Wilson Reagan, Republican, 63.13
Grundy, James Earl Carter, Democratic, 70.59
Hamblen, Ronald Wilson Reagan, Republican, 60.6
Hamilton, Ronald Wilson Reagan, Republican, 56.4
Hancock, Ronald Wilson Reagan, Republican, 69.72
Hardeman, James Earl Carter, Democratic, 57.64
Hardin, Ronald Wilson Reagan, Republican, 55.84
Hawkins, Ronald Wilson Reagan, Republican, 57.92
Haywood, James Earl Carter, Democratic, 57.97
Henderson, Ronald Wilson Reagan, Republican, 64.45
Henry, James Earl Carter, Democratic, 59.11
Hickman, James Earl Carter, Democratic, 61.66
Houston, James Earl Carter, Democratic, 69.15
Humphreys, James Earl Carter, Democratic, 66.61
Jackson, James Earl Carter, Democratic, 70.16
Jefferson, Ronald Wilson Reagan, Republican, 66.82
Johnson, Ronald Wilson Reagan, Republican, 74.99
Knox, Ronald Wilson Reagan, Republican, 56.26
Lake, James Earl Carter, Democratic, 67.03
Lauderdale, James Earl Carter, Democratic, 59.68
Lawrence, Ronald Wilson Reagan, Republican, 48.47
Lewis, James Earl Carter, Democratic, 66.18
Lincoln, James Earl Carter, Democratic, 64.06
Loudon, Ronald Wilson Reagan, Republican, 61.51
Macon, Ronald Wilson Reagan, Republican, 58.96
Madison, Ronald Wilson Reagan, Republican, 50.27
Marion, James Earl Carter, Democratic, 53.44
Marshall, James Earl Carter, Democratic, 64.16
Maury, James Earl Carter, Democratic, 52.94
McMinn, Ronald Wilson Reagan, Republican, 57.76
McNairy, Ronald Wilson Reagan, Republican, 54.06
Meigs, Ronald Wilson Reagan, Republican, 55.18
Monroe, Ronald Wilson Reagan, Republican, 56.45
Montgomery, James Earl Carter, Democratic, 55.91
Moore, James Earl Carter, Democratic, 62.26
Morgan, Ronald Wilson Reagan, Republican, 56.29
Obion, James Earl Carter, Democratic, 50.73
Overton, James Earl Carter, Democratic, 63.47
Perry, James Earl Carter, Democratic, 62.77
Pickett, Ronald Wilson Reagan, Republican, 62.75
Polk, James Earl Carter, Democratic, 49.8
Putnam, James Earl Carter, Democratic, 54.8
Rhea, Ronald Wilson Reagan, Republican, 59.44
Roane, Ronald Wilson Reagan, Republican, 61.03
Robertson, James Earl Carter, Democratic, 66.34
Rutherford, James Earl Carter, Democratic, 55.62
Scott, Ronald Wilson Reagan, Republican, 62.38
Sequatchie, Ronald Wilson Reagan, Republican, 49.54
Sevier, Ronald Wilson Reagan, Republican, 73.25
Shelby, James Earl Carter, Democratic, 51.61
Smith, James Earl Carter, Democratic, 66.43
Stewart, James Earl Carter, Democratic, 68.54
Sullivan, Ronald Wilson Reagan, Republican, 51.44
Sumner, James Earl Carter, Democratic, 52.93
Tipton, James Earl Carter, Democratic, 52.48
Trousdale, James Earl Carter, Democratic, 71.11
Unicoi, Ronald Wilson Reagan, Republican, 65.5
Union, Ronald Wilson Reagan, Republican, 62.09
Van Buren, James Earl Carter, Democratic, 63.11
Warren, James Earl Carter, Democratic, 60.79
Washington, Ronald Wilson Reagan, Republican, 57.71
Wayne, Ronald Wilson Reagan, Republican, 64.53
Weakley, James Earl Carter, Democratic, 50.21
White, James Earl Carter, Democratic, 60.84
Williamson, Ronald Wilson Reagan, Republican, 54.98
Wilson, James Earl Carter, Democratic, 58.36
