Adams, Ronald Wilson Reagan, Republican, 61.42
Allegheny, James Earl Carter, Democratic, 47.87
Armstrong, Ronald Wilson Reagan, Republican, 47.8
Beaver, James Earl Carter, Democratic, 55.11
Bedford, Ronald Wilson Reagan, Republican, 66.57
Berks, Ronald Wilson Reagan, Republican, 56.41
Blair, Ronald Wilson Reagan, Republican, 62.41
Bradford, Ronald Wilson Reagan, Republican, 62.97
Bucks, Ronald Wilson Reagan, Republican, 55.49
Butler, Ronald Wilson Reagan, Republican, 54.7
Cambria, James Earl Carter, Democratic, 50.08
Cameron, Ronald Wilson Reagan, Republican, 59.24
Carbon, Ronald Wilson Reagan, Republican, 51.95
Centre, Ronald Wilson Reagan, Republican, 48.33
Chester, Ronald Wilson Reagan, Republican, 60.92
Clarion, Ronald Wilson Reagan, Republican, 58.35
Clearfield, Ronald Wilson Reagan, Republican, 54.27
Clinton, Ronald Wilson Reagan, Republican, 52.36
Columbia, Ronald Wilson Reagan, Republican, 53.3
Crawford, Ronald Wilson Reagan, Republican, 53.55
Cumberland, Ronald Wilson Reagan, Republican, 61.18
Dauphin, Ronald Wilson Reagan, Republican, 56.18
Delaware, Ronald Wilson Reagan, Republican, 55.78
Elk, Ronald Wilson Reagan, Republican, 52.49
Erie, Ronald Wilson Reagan, Republican, 47.42
Fayette, James Earl Carter, Democratic, 56.62
Forest, Ronald Wilson Reagan, Republican, 56.12
Franklin, Ronald Wilson Reagan, Republican, 61.83
Fulton, Ronald Wilson Reagan, Republican, 64.9
Greene, James Earl Carter, Democratic, 58.02
Huntingdon, Ronald Wilson Reagan, Republican, 58.44
Indiana, Ronald Wilson Reagan, Republican, 49.62
Jefferson, Ronald Wilson Reagan, Republican, 57.38
Juniata, Ronald Wilson Reagan, Republican, 57.8
Lackawanna, James Earl Carter, Democratic, 47.42
Lancaster, Ronald Wilson Reagan, Republican, 67.25
Lawrence, James Earl Carter, Democratic, 48.51
Lebanon, Ronald Wilson Reagan, Republican, 68.99
Lehigh, Ronald Wilson Reagan, Republican, 52.91
Luzerne, Ronald Wilson Reagan, Republican, 50.21
Lycoming, Ronald Wilson Reagan, Republican, 57.74
McKean, Ronald Wilson Reagan, Republican, 60.85
Mercer, Ronald Wilson Reagan, Republican, 48.54
Mifflin, Ronald Wilson Reagan, Republican, 55.78
Monroe, Ronald Wilson Reagan, Republican, 55.44
Montgomery, Ronald Wilson Reagan, Republican, 57.81
Montour, Ronald Wilson Reagan, Republican, 55.76
Northampton, Ronald Wilson Reagan, Republican, 47.07
Northumberland, Ronald Wilson Reagan, Republican, 56.79
Perry, Ronald Wilson Reagan, Republican, 63.7
Philadelphia, James Earl Carter, Democratic, 58.66
Pike, Ronald Wilson Reagan, Republican, 65.83
Potter, Ronald Wilson Reagan, Republican, 61.07
Schuylkill, Ronald Wilson Reagan, Republican, 55.83
Snyder, Ronald Wilson Reagan, Republican, 72.08
Somerset, Ronald Wilson Reagan, Republican, 58.21
Sullivan, Ronald Wilson Reagan, Republican, 57.75
Susquehanna, Ronald Wilson Reagan, Republican, 61.23
Tioga, Ronald Wilson Reagan, Republican, 63.33
Union, Ronald Wilson Reagan, Republican, 66.28
Venango, Ronald Wilson Reagan, Republican, 56.04
Warren, Ronald Wilson Reagan, Republican, 57.37
Washington, James Earl Carter, Democratic, 55.23
Wayne, Ronald Wilson Reagan, Republican, 67.48
Westmoreland, James Earl Carter, Democratic, 48.97
Wyoming, Ronald Wilson Reagan, Republican, 64.57
York, Ronald Wilson Reagan, Republican, 59.96
