Adair, Ronald Wilson Reagan, Republican, 57.85
Andrew, Ronald Wilson Reagan, Republican, 56.11
Atchison, Ronald Wilson Reagan, Republican, 58.91
Audrain, Ronald Wilson Reagan, Republican, 53.61
Barry, Ronald Wilson Reagan, Republican, 61.37
Barton, Ronald Wilson Reagan, Republican, 61.81
Bates, Ronald Wilson Reagan, Republican, 53.97
Benton, Ronald Wilson Reagan, Republican, 58.97
Bollinger, Ronald Wilson Reagan, Republican, 55.98
Boone, James Earl Carter, Democratic, 47.61
Buchanan, James Earl Carter, Democratic, 48.24
Butler, Ronald Wilson Reagan, Republican, 58.8
Caldwell, Ronald Wilson Reagan, Republican, 60.34
Callaway, Ronald Wilson Reagan, Republican, 52.58
Camden, Ronald Wilson Reagan, Republican, 63.82
Cape Girardeau, Ronald Wilson Reagan, Republican, 60.48
Carroll, Ronald Wilson Reagan, Republican, 58.94
Carter, Ronald Wilson Reagan, Republican, 51.37
Cass, Ronald Wilson Reagan, Republican, 52.76
Cedar, Ronald Wilson Reagan, Republican, 65.65
Chariton, Ronald Wilson Reagan, Republican, 53.07
Christian, Ronald Wilson Reagan, Republican, 63.28
Clark, Ronald Wilson Reagan, Republican, 56.46
Clay, Ronald Wilson Reagan, Republican, 50.43
Clinton, Ronald Wilson Reagan, Republican, 52.5
Cole, Ronald Wilson Reagan, Republican, 61.94
Cooper, Ronald Wilson Reagan, Republican, 58.31
Crawford, Ronald Wilson Reagan, Republican, 58.15
Dade, Ronald Wilson Reagan, Republican, 63.77
Dallas, Ronald Wilson Reagan, Republican, 60.62
Daviess, Ronald Wilson Reagan, Republican, 53.28
DeKalb, Ronald Wilson Reagan, Republican, 53.08
Dent, Ronald Wilson Reagan, Republican, 56.69
Douglas, Ronald Wilson Reagan, Republican, 65.47
Dunklin, James Earl Carter, Democratic, 53.06
Franklin, Ronald Wilson Reagan, Republican, 56.63
Gasconade, Ronald Wilson Reagan, Republican, 72.22
Gentry, Ronald Wilson Reagan, Republican, 51.8
Greene, Ronald Wilson Reagan, Republican, 55.66
Grundy, Ronald Wilson Reagan, Republican, 56.59
Harrison, Ronald Wilson Reagan, Republican, 58.72
Henry, Ronald Wilson Reagan, Republican, 49.18
Hickory, Ronald Wilson Reagan, Republican, 58.9
Holt, Ronald Wilson Reagan, Republican, 62.46
Howard, James Earl Carter, Democratic, 49.25
Howell, Ronald Wilson Reagan, Republican, 60.03
Iron, James Earl Carter, Democratic, 48.88
Jackson, James Earl Carter, Democratic, 52.86
Jasper, Ronald Wilson Reagan, Republican, 62.48
Jefferson, Ronald Wilson Reagan, Republican, 52
Johnson, Ronald Wilson Reagan, Republican, 51.19
Knox, Ronald Wilson Reagan, Republican, 54.43
Laclede, Ronald Wilson Reagan, Republican, 60.78
Lafayette, Ronald Wilson Reagan, Republican, 53.98
Lawrence, Ronald Wilson Reagan, Republican, 61.66
Lewis, Ronald Wilson Reagan, Republican, 49.07
Lincoln, Ronald Wilson Reagan, Republican, 53.13
Linn, Ronald Wilson Reagan, Republican, 49.61
Livingston, Ronald Wilson Reagan, Republican, 50.24
Macon, Ronald Wilson Reagan, Republican, 60.65
Madison, Ronald Wilson Reagan, Republican, 54.07
Maries, Ronald Wilson Reagan, Republican, 53
Marion, Ronald Wilson Reagan, Republican, 52.39
McDonald, Ronald Wilson Reagan, Republican, 49.53
Mercer, Ronald Wilson Reagan, Republican, 58.67
Miller, Ronald Wilson Reagan, Republican, 67.91
Mississippi, James Earl Carter, Democratic, 54.46
Moniteau, Ronald Wilson Reagan, Republican, 58.78
Monroe, James Earl Carter, Democratic, 53.67
Montgomery, Ronald Wilson Reagan, Republican, 58.58
Morgan, Ronald Wilson Reagan, Republican, 57.84
New Madrid, James Earl Carter, Democratic, 50.24
Newton, Ronald Wilson Reagan, Republican, 62.85
Nodaway, Ronald Wilson Reagan, Republican, 48.89
Oregon, James Earl Carter, Democratic, 59.66
Osage, Ronald Wilson Reagan, Republican, 63.18
Ozark, Ronald Wilson Reagan, Republican, 64.56
Pemiscot, James Earl Carter, Democratic, 53.54
Perry, Ronald Wilson Reagan, Republican, 65.71
Pettis, Ronald Wilson Reagan, Republican, 55.74
Phelps, Ronald Wilson Reagan, Republican, 54.25
Pike, Ronald Wilson Reagan, Republican, 51.78
Platte, Ronald Wilson Reagan, Republican, 53.78
Polk, Ronald Wilson Reagan, Republican, 57.86
Pulaski, Ronald Wilson Reagan, Republican, 50.78
Putnam, Ronald Wilson Reagan, Republican, 64.86
Ralls, James Earl Carter, Democratic, 49.93
Randolph, Ronald Wilson Reagan, Republican, 50.02
Ray, James Earl Carter, Democratic, 50.92
Reynolds, James Earl Carter, Democratic, 59.05
Ripley, Ronald Wilson Reagan, Republican, 52.97
Saint Charles, Ronald Wilson Reagan, Republican, 60.28
Saint Clair, Ronald Wilson Reagan, Republican, 57.42
Saint Francois, Ronald Wilson Reagan, Republican, 52.69
Saint Louis County, Ronald Wilson Reagan, Republican, 54.32
Saint Louis City, James Earl Carter, Democratic, 66.53
Sainte Genevieve, James Earl Carter, Democratic, 52.79
Saline, Ronald Wilson Reagan, Republican, 49.32
Schuyler, Ronald Wilson Reagan, Republican, 54.14
Scotland, Ronald Wilson Reagan, Republican, 55.49
Scott, Ronald Wilson Reagan, Republican, 53.62
Shannon, James Earl Carter, Democratic, 53.42
Shelby, Ronald Wilson Reagan, Republican, 52.69
Stoddard, Ronald Wilson Reagan, Republican, 53.84
Stone, Ronald Wilson Reagan, Republican, 66.26
Sullivan, Ronald Wilson Reagan, Republican, 55.77
Taney, Ronald Wilson Reagan, Republican, 63.22
Texas, Ronald Wilson Reagan, Republican, 52.41
Vernon, Ronald Wilson Reagan, Republican, 51.92
Warren, Ronald Wilson Reagan, Republican, 64.72
Washington, Ronald Wilson Reagan, Republican, 53.17
Wayne, Ronald Wilson Reagan, Republican, 51.83
Webster, Ronald Wilson Reagan, Republican, 58.71
Worth, Ronald Wilson Reagan, Republican, 50.27
Wright, Ronald Wilson Reagan, Republican, 66.24
