Adair, Ronald Wilson Reagan, Republican, 63.12
Allen, Ronald Wilson Reagan, Republican, 60.36
Anderson, James Earl Carter, Democratic, 53.88
Ballard, James Earl Carter, Democratic, 67.51
Barren, Ronald Wilson Reagan, Republican, 53.67
Bath, James Earl Carter, Democratic, 58.79
Bell, James Earl Carter, Democratic, 52.63
Boone, Ronald Wilson Reagan, Republican, 58.4
Bourbon, James Earl Carter, Democratic, 57.37
Boyd, James Earl Carter, Democratic, 49.33
Boyle, James Earl Carter, Democratic, 51.66
Bracken, James Earl Carter, Democratic, 53.71
Breathitt, James Earl Carter, Democratic, 70.79
Breckinridge, Ronald Wilson Reagan, Republican, 52.66
Bullitt, Ronald Wilson Reagan, Republican, 50.6
Butler, Ronald Wilson Reagan, Republican, 70.31
Caldwell, James Earl Carter, Democratic, 51.8
Calloway, James Earl Carter, Democratic, 56.91
Campbell, Ronald Wilson Reagan, Republican, 57.32
Carlisle, James Earl Carter, Democratic, 60.59
Carroll, James Earl Carter, Democratic, 63.91
Carter, Ronald Wilson Reagan, Republican, 50.18
Casey, Ronald Wilson Reagan, Republican, 75.27
Christian, Ronald Wilson Reagan, Republican, 52.92
Clark, James Earl Carter, Democratic, 52.36
Clay, Ronald Wilson Reagan, Republican, 67.78
Clinton, Ronald Wilson Reagan, Republican, 77.1
Crittenden, Ronald Wilson Reagan, Republican, 58.84
Cumberland, Ronald Wilson Reagan, Republican, 71.92
Daviess, James Earl Carter, Democratic, 48.51
Edmonson, Ronald Wilson Reagan, Republican, 68.82
Elliott, James Earl Carter, Democratic, 74.43
Estill, Ronald Wilson Reagan, Republican, 57.97
Fayette, Ronald Wilson Reagan, Republican, 49.22
Fleming, Ronald Wilson Reagan, Republican, 50.73
Floyd, James Earl Carter, Democratic, 71.34
Franklin, James Earl Carter, Democratic, 60.4
Fulton, James Earl Carter, Democratic, 56.84
Gallatin, James Earl Carter, Democratic, 57.98
Garrard, Ronald Wilson Reagan, Republican, 57.7
Grant, James Earl Carter, Democratic, 54.32
Graves, James Earl Carter, Democratic, 50.66
Grayson, Ronald Wilson Reagan, Republican, 62.95
Green, Ronald Wilson Reagan, Republican, 60.5
Greenup, James Earl Carter, Democratic, 49.92
Hancock, James Earl Carter, Democratic, 50.93
Hardin, Ronald Wilson Reagan, Republican, 52.19
Harlan, James Earl Carter, Democratic, 60.86
Harrison, James Earl Carter, Democratic, 58.8
Hart, Ronald Wilson Reagan, Republican, 50.44
Henderson, James Earl Carter, Democratic, 59.17
Henry, James Earl Carter, Democratic, 62.35
Hickman, James Earl Carter, Democratic, 54.57
Hopkins, James Earl Carter, Democratic, 57.38
Jackson, Ronald Wilson Reagan, Republican, 81.95
Jefferson, Ronald Wilson Reagan, Republican, 47.97
Jessamine, Ronald Wilson Reagan, Republican, 56.38
Johnson, Ronald Wilson Reagan, Republican, 60.5
Kenton, Ronald Wilson Reagan, Republican, 56.16
Knott, James Earl Carter, Democratic, 76.5
Knox, Ronald Wilson Reagan, Republican, 59.95
Larue, James Earl Carter, Democratic, 51.38
Laurel, Ronald Wilson Reagan, Republican, 68.23
Lawrence, Ronald Wilson Reagan, Republican, 51.49
Lee, Ronald Wilson Reagan, Republican, 60.53
Leslie, Ronald Wilson Reagan, Republican, 71.86
Letcher, James Earl Carter, Democratic, 54.75
Lewis, Ronald Wilson Reagan, Republican, 63.78
Lincoln, Ronald Wilson Reagan, Republican, 49.7
Livingston, James Earl Carter, Democratic, 57.06
Logan, James Earl Carter, Democratic, 54.8
Lyon, James Earl Carter, Democratic, 59.2
Madison, Ronald Wilson Reagan, Republican, 47.74
Magoffin, James Earl Carter, Democratic, 56.37
Marion, James Earl Carter, Democratic, 61.5
Marshall, James Earl Carter, Democratic, 57.81
Martin, Ronald Wilson Reagan, Republican, 63.05
McCracken, James Earl Carter, Democratic, 54.94
McCreary, Ronald Wilson Reagan, Republican, 71.27
McLean, James Earl Carter, Democratic, 57.87
Mason, James Earl Carter, Democratic, 50.6
