Adams, Franklin Delano Roosevelt, Democratic, 66.11
Allen, Franklin Delano Roosevelt, Democratic, 57.76
Bartholomew, Franklin Delano Roosevelt, Democratic, 54.05
Benton, Franklin Delano Roosevelt, Democratic, 58.43
Blackford, Franklin Delano Roosevelt, Democratic, 57.34
Boone, Franklin Delano Roosevelt, Democratic, 55.47
Brown, Franklin Delano Roosevelt, Democratic, 66.32
Carroll, Franklin Delano Roosevelt, Democratic, 55.3
Cass, Franklin Delano Roosevelt, Democratic, 57.08
Clark, Franklin Delano Roosevelt, Democratic, 61.21
Clay, Franklin Delano Roosevelt, Democratic, 58.99
Clinton, Franklin Delano Roosevelt, Democratic, 56.27
Crawford, Franklin Delano Roosevelt, Democratic, 59.19
Daviess, Franklin Delano Roosevelt, Democratic, 52.54
Dearborn, Franklin Delano Roosevelt, Democratic, 57.02
Decatur, Franklin Delano Roosevelt, Democratic, 53.31
DeKalb, Franklin Delano Roosevelt, Democratic, 55.74
Delaware, Herbert Clark Hoover, Republican, 51.25
Dubois, Franklin Delano Roosevelt, Democratic, 75.5
Elkhart, Franklin Delano Roosevelt, Democratic, 50.34
Fayette, Franklin Delano Roosevelt, Democratic, 50.7
Floyd, Franklin Delano Roosevelt, Democratic, 57.83
Fountain, Franklin Delano Roosevelt, Democratic, 56.93
Franklin, Franklin Delano Roosevelt, Democratic, 63.06
Fulton, Franklin Delano Roosevelt, Democratic, 54.96
Gibson, Franklin Delano Roosevelt, Democratic, 57.76
Grant, Franklin Delano Roosevelt, Democratic, 51.58
Greene, Franklin Delano Roosevelt, Democratic, 55.51
Hamilton, Herbert Clark Hoover, Republican, 53.08
Hancock, Franklin Delano Roosevelt, Democratic, 57.89
Harrison, Franklin Delano Roosevelt, Democratic, 58.25
Hendricks, Herbert Clark Hoover, Republican, 49.15
Henry, Herbert Clark Hoover, Republican, 48.67
Howard, Franklin Delano Roosevelt, Democratic, 50.81
Huntington, Franklin Delano Roosevelt, Democratic, 54.97
Jackson, Franklin Delano Roosevelt, Democratic, 65.22
Jasper, Franklin Delano Roosevelt, Democratic, 54.4
Jay, Franklin Delano Roosevelt, Democratic, 57.15
Jefferson, Franklin Delano Roosevelt, Democratic, 52.19
Jennings, Franklin Delano Roosevelt, Democratic, 53.64
Johnson, Franklin Delano Roosevelt, Democratic, 59.23
Knox, Franklin Delano Roosevelt, Democratic, 66.62
Kosciusko, Franklin Delano Roosevelt, Democratic, 50.54
LaGrange, Franklin Delano Roosevelt, Democratic, 56.03
Lake, Franklin Delano Roosevelt, Democratic, 50.34
LaPorte, Franklin Delano Roosevelt, Democratic, 57.28
Lawrence, Herbert Clark Hoover, Republican, 49.66
Madison, Franklin Delano Roosevelt, Democratic, 52.72
Marion, Franklin Delano Roosevelt, Democratic, 50.15
Marshall, Franklin Delano Roosevelt, Democratic, 58.13
Martin, Franklin Delano Roosevelt, Democratic, 58.79
Miami, Franklin Delano Roosevelt, Democratic, 58.53
Monroe, Franklin Delano Roosevelt, Democratic, 51.39
Montgomery, Franklin Delano Roosevelt, Democratic, 54.93
Morgan, Franklin Delano Roosevelt, Democratic, 53.5
Newton, Franklin Delano Roosevelt, Democratic, 52.02
Noble, Franklin Delano Roosevelt, Democratic, 54.63
Ohio, Franklin Delano Roosevelt, Democratic, 55.88
Orange, Franklin Delano Roosevelt, Democratic, 51.06
Owen, Franklin Delano Roosevelt, Democratic, 58.35
Parke, Franklin Delano Roosevelt, Democratic, 53.06
Perry, Franklin Delano Roosevelt, Democratic, 60.46
Pike, Franklin Delano Roosevelt, Democratic, 57.33
Porter, Herbert Clark Hoover, Republican, 49.47
Posey, Franklin Delano Roosevelt, Democratic, 65.26
Pulaski, Franklin Delano Roosevelt, Democratic, 58.25
Putnam, Franklin Delano Roosevelt, Democratic, 56.24
Randolph, Herbert Clark Hoover, Republican, 49.44
Ripley, Franklin Delano Roosevelt, Democratic, 57.86
Rush, Herbert Clark Hoover, Republican, 49.5
St. Joseph, Franklin Delano Roosevelt, Democratic, 55.46
Scott, Franklin Delano Roosevelt, Democratic, 55.89
Shelby, Franklin Delano Roosevelt, Democratic, 60.14
Spencer, Franklin Delano Roosevelt, Democratic, 57.06
Starke, Franklin Delano Roosevelt, Democratic, 56.91
Steuben, Franklin Delano Roosevelt, Democratic, 50.04
Sullivan, Franklin Delano Roosevelt, Democratic, 62.8
Switzerland, Franklin Delano Roosevelt, Democratic, 59.21
Tippecanoe, Franklin Delano Roosevelt, Democratic, 53.03
Tipton, Franklin Delano Roosevelt, Democratic, 56.15
Union, Herbert Clark Hoover, Republican, 50.41
Vanderburgh, Franklin Delano Roosevelt, Democratic, 63.97
Vermillion, Franklin Delano Roosevelt, Democratic, 58.77
Vigo, Franklin Delano Roosevelt, Democratic, 57.29
Wabash, Herbert Clark Hoover, Republican, 49.36
Warren, Franklin Delano Roosevelt, Democratic, 49.65
Warrick, Franklin Delano Roosevelt, Democratic, 59.53
Washington, Franklin Delano Roosevelt, Democratic, 58.78
Wayne, Franklin Delano Roosevelt, Democratic, 50.13
Wells, Franklin Delano Roosevelt, Democratic, 65.45
White, Franklin Delano Roosevelt, Democratic, 57.91
Whitley, Franklin Delano Roosevelt, Democratic, 57.13
