Anderson, Herbert Clark Hoover, Republican, 59.51
Bedford, Franklin Delano Roosevelt, Democratic, 78.12
Benton, Franklin Delano Roosevelt, Democratic, 76.2
Bledsoe, Franklin Delano Roosevelt, Democratic, 51.86
Blount, Herbert Clark Hoover, Republican, 67.29
Bradley, Herbert Clark Hoover, Republican, 54.1
Campbell, Herbert Clark Hoover, Republican, 59.34
Cannon, Franklin Delano Roosevelt, Democratic, 76.63
Carroll, Franklin Delano Roosevelt, Democratic, 50.48
Carter, Herbert Clark Hoover, Republican, 76.26
Cheatham, Franklin Delano Roosevelt, Democratic, 87.71
Chester, Franklin Delano Roosevelt, Democratic, 72.59
Claiborne, Franklin Delano Roosevelt, Democratic, 66.82
Clay, Franklin Delano Roosevelt, Democratic, 68.48
Cocke, Herbert Clark Hoover, Republican, 59.36
Coffee, Franklin Delano Roosevelt, Democratic, 81.25
Crockett, Franklin Delano Roosevelt, Democratic, 78.39
Cumberland, Franklin Delano Roosevelt, Democratic, 50.71
Davidson, Franklin Delano Roosevelt, Democratic, 74.07
Decatur, Franklin Delano Roosevelt, Democratic, 62.08
DeKalb, Franklin Delano Roosevelt, Democratic, 60.29
Dickson, Franklin Delano Roosevelt, Democratic, 84.33
Dyer, Franklin Delano Roosevelt, Democratic, 90.12
Fayette, Franklin Delano Roosevelt, Democratic, 95.62
Fentress, Herbert Clark Hoover, Republican, 56.31
Franklin, Franklin Delano Roosevelt, Democratic, 88.65
Gibson, Franklin Delano Roosevelt, Democratic, 84.42
Giles, Franklin Delano Roosevelt, Democratic, 81.15
Grainger, Herbert Clark Hoover, Republican, 56.31
Greene, Franklin Delano Roosevelt, Democratic, 56.61
Grundy, Franklin Delano Roosevelt, Democratic, 82.12
Hamblen, Franklin Delano Roosevelt, Democratic, 57.69
Hamilton, Franklin Delano Roosevelt, Democratic, 60.56
Hancock, Herbert Clark Hoover, Republican, 66.4
Hardeman, Franklin Delano Roosevelt, Democratic, 88.69
Hardin, Herbert Clark Hoover, Republican, 55.97
Hawkins, Herbert Clark Hoover, Republican, 54.51
Haywood, Franklin Delano Roosevelt, Democratic, 95.01
Henderson, Herbert Clark Hoover, Republican, 52.14
Henry, Franklin Delano Roosevelt, Democratic, 88.08
Hickman, Franklin Delano Roosevelt, Democratic, 82.18
Houston, Franklin Delano Roosevelt, Democratic, 86.51
Humphreys, Franklin Delano Roosevelt, Democratic, 85.44
Jackson, Franklin Delano Roosevelt, Democratic, 86.91
Jefferson, Herbert Clark Hoover, Republican, 68.59
Johnson, Herbert Clark Hoover, Republican, 84.51
Knox, Franklin Delano Roosevelt, Democratic, 51.39
Lake, Franklin Delano Roosevelt, Democratic, 95.9
Lauderdale, Franklin Delano Roosevelt, Democratic, 90.94
Lawrence, Franklin Delano Roosevelt, Democratic, 65.48
Lewis, Franklin Delano Roosevelt, Democratic, 85.36
Lincoln, Franklin Delano Roosevelt, Democratic, 90.26
Loudon, Herbert Clark Hoover, Republican, 51.87
Macon, Herbert Clark Hoover, Republican, 55.65
Madison, Franklin Delano Roosevelt, Democratic, 79.83
Marion, Franklin Delano Roosevelt, Democratic, 61.14
Marshall, Franklin Delano Roosevelt, Democratic, 87.73
Maury, Franklin Delano Roosevelt, Democratic, 85.83
McMinn, Herbert Clark Hoover, Republican, 50.77
McNairy, Franklin Delano Roosevelt, Democratic, 59.01
Meigs, Franklin Delano Roosevelt, Democratic, 59.66
Monroe, Franklin Delano Roosevelt, Democratic, 65.97
Montgomery, Franklin Delano Roosevelt, Democratic, 77.47
Moore, Franklin Delano Roosevelt, Democratic, 92.67
Morgan, Herbert Clark Hoover, Republican, 54.19
Obion, Franklin Delano Roosevelt, Democratic, 89.18
Overton, Franklin Delano Roosevelt, Democratic, 76.8
Perry, Franklin Delano Roosevelt, Democratic, 78.95
Pickett, Franklin Delano Roosevelt, Democratic, 50.28
Polk, Franklin Delano Roosevelt, Democratic, 60.74
Putnam, Franklin Delano Roosevelt, Democratic, 69.08
Rhea, Franklin Delano Roosevelt, Democratic, 51.05
Roane, Herbert Clark Hoover, Republican, 54.89
Robertson, Franklin Delano Roosevelt, Democratic, 90.71
Rutherford, Franklin Delano Roosevelt, Democratic, 86.24
Scott, Herbert Clark Hoover, Republican, 64.29
Sequatchie, Franklin Delano Roosevelt, Democratic, 72.21
Sevier, Herbert Clark Hoover, Republican, 77.01
Shelby, Franklin Delano Roosevelt, Democratic, 84.76
Smith, Franklin Delano Roosevelt, Democratic, 77.1
Stewart, Franklin Delano Roosevelt, Democratic, 88.76
Sullivan, Franklin Delano Roosevelt, Democratic, 63.04
Sumner, Franklin Delano Roosevelt, Democratic, 90.47
Tipton, Franklin Delano Roosevelt, Democratic, 94.23
Trousdale, Franklin Delano Roosevelt, Democratic, 92.78
Unicoi, Herbert Clark Hoover, Republican, 66.87
Union, Herbert Clark Hoover, Republican, 58.95
Van Buren, Franklin Delano Roosevelt, Democratic, 73.59
Warren, Franklin Delano Roosevelt, Democratic, 84.09
Washington, Herbert Clark Hoover, Republican, 51.71
Wayne, Herbert Clark Hoover, Republican, 66.02
Weakley, Franklin Delano Roosevelt, Democratic, 82.52
White, Franklin Delano Roosevelt, Democratic, 82.79
Williamson, Franklin Delano Roosevelt, Democratic, 89.96
Wilson, Franklin Delano Roosevelt, Democratic, 82.26
