Adams, Franklin Delano Roosevelt, Democratic, 61.89
Asotin, Franklin Delano Roosevelt, Democratic, 65.33
Benton, Franklin Delano Roosevelt, Democratic, 57.28
Chelan, Franklin Delano Roosevelt, Democratic, 52.79
Clallam, Franklin Delano Roosevelt, Democratic, 52.46
Clark, Franklin Delano Roosevelt, Democratic, 60.05
Columbia, Franklin Delano Roosevelt, Democratic, 64.88
Cowlitz, Franklin Delano Roosevelt, Democratic, 48.98
Douglas, Franklin Delano Roosevelt, Democratic, 57.73
Ferry, Franklin Delano Roosevelt, Democratic, 71.63
Franklin, Franklin Delano Roosevelt, Democratic, 62.27
Garfield, Franklin Delano Roosevelt, Democratic, 54.32
Grant, Franklin Delano Roosevelt, Democratic, 57.1
Grays Harbor, Franklin Delano Roosevelt, Democratic, 55.92
Island, Franklin Delano Roosevelt, Democratic, 56.99
Jefferson, Franklin Delano Roosevelt, Democratic, 61.03
King, Franklin Delano Roosevelt, Democratic, 59.09
Kitsap, Franklin Delano Roosevelt, Democratic, 70.57
Kittitas, Franklin Delano Roosevelt, Democratic, 63.82
Klickitat, Franklin Delano Roosevelt, Democratic, 59.15
Lewis, Franklin Delano Roosevelt, Democratic, 54.21
Lincoln, Franklin Delano Roosevelt, Democratic, 59.3
Mason, Franklin Delano Roosevelt, Democratic, 55.89
Okanogan, Franklin Delano Roosevelt, Democratic, 57.13
Pacific, Franklin Delano Roosevelt, Democratic, 55.46
Pend Oreille, Franklin Delano Roosevelt, Democratic, 64.18
Pierce, Franklin Delano Roosevelt, Democratic, 58.86
San Juan, Franklin Delano Roosevelt, Democratic, 52.37
Skagit, Franklin Delano Roosevelt, Democratic, 60.45
Skamania, Franklin Delano Roosevelt, Democratic, 63.89
Snohomish, Franklin Delano Roosevelt, Democratic, 59.27
Spokane, Franklin Delano Roosevelt, Democratic, 56.74
Stevens, Franklin Delano Roosevelt, Democratic, 60.94
Thurston, Franklin Delano Roosevelt, Democratic, 45.97
Wahkiakum, Franklin Delano Roosevelt, Democratic, 53.52
Walla Walla, Franklin Delano Roosevelt, Democratic, 52.75
Whatcom, Franklin Delano Roosevelt, Democratic, 50.44
Whitman, Franklin Delano Roosevelt, Democratic, 53.99
Yakima, Franklin Delano Roosevelt, Democratic, 51.7
