Allegany, Herbert Clark Hoover, Republican, 49.05
Anne Arundel, Franklin Delano Roosevelt, Democratic, 61.26
Baltimore, Franklin Delano Roosevelt, Democratic, 62.35
Baltimore City, Franklin Delano Roosevelt, Democratic, 64.84
Calvert, Herbert Clark Hoover, Republican, 51.38
Caroline, Franklin Delano Roosevelt, Democratic, 64.38
Carroll, Franklin Delano Roosevelt, Democratic, 52.67
Cecil, Franklin Delano Roosevelt, Democratic, 53.8
Charles, Franklin Delano Roosevelt, Democratic, 56.58
Dorchester, Franklin Delano Roosevelt, Democratic, 56.47
Frederick, Franklin Delano Roosevelt, Democratic, 59.29
Garrett, Herbert Clark Hoover, Republican, 56
Harford, Franklin Delano Roosevelt, Democratic, 59.93
Howard, Franklin Delano Roosevelt, Democratic, 67.22
Kent, Franklin Delano Roosevelt, Democratic, 61.49
Montgomery, Franklin Delano Roosevelt, Democratic, 62.69
Prince George's, Franklin Delano Roosevelt, Democratic, 62.41
Queen Anne's, Franklin Delano Roosevelt, Democratic, 69.57
Somerset, Franklin Delano Roosevelt, Democratic, 56.3
St. Mary's, Franklin Delano Roosevelt, Democratic, 67.09
Talbot, Franklin Delano Roosevelt, Democratic, 60.91
Washington, Franklin Delano Roosevelt, Democratic, 55.39
Wicomico, Franklin Delano Roosevelt, Democratic, 64.11
Worcester, Franklin Delano Roosevelt, Democratic, 61.93
