Barbour, Franklin Delano Roosevelt, Democratic, 52.71
Berkeley, Franklin Delano Roosevelt, Democratic, 51.81
Boone, Franklin Delano Roosevelt, Democratic, 62.26
Braxton, Franklin Delano Roosevelt, Democratic, 62.55
Brooke, Franklin Delano Roosevelt, Democratic, 53.43
Cabell, Franklin Delano Roosevelt, Democratic, 56.01
Calhoun, Franklin Delano Roosevelt, Democratic, 66.45
Clay, Franklin Delano Roosevelt, Democratic, 55.25
Doddridge, Herbert Clark Hoover, Republican, 58.86
Fayette, Franklin Delano Roosevelt, Democratic, 58.04
Gilmer, Franklin Delano Roosevelt, Democratic, 69.14
Grant, Herbert Clark Hoover, Republican, 72.15
Greenbrier, Franklin Delano Roosevelt, Democratic, 64.47
Hampshire, Franklin Delano Roosevelt, Democratic, 73.8
Hancock, Franklin Delano Roosevelt, Democratic, 49.92
Hardy, Franklin Delano Roosevelt, Democratic, 68.61
Harrison, Franklin Delano Roosevelt, Democratic, 54.21
Jackson, Franklin Delano Roosevelt, Democratic, 50.29
Jefferson, Franklin Delano Roosevelt, Democratic, 75.15
Kanawha, Franklin Delano Roosevelt, Democratic, 51.61
Lewis, Franklin Delano Roosevelt, Democratic, 53.42
Lincoln, Franklin Delano Roosevelt, Democratic, 55.68
Logan, Franklin Delano Roosevelt, Democratic, 53.81
Marion, Franklin Delano Roosevelt, Democratic, 54.22
Marshall, Franklin Delano Roosevelt, Democratic, 51.09
Mason, Franklin Delano Roosevelt, Democratic, 51.52
McDowell, Herbert Clark Hoover, Republican, 56.35
Mercer, Franklin Delano Roosevelt, Democratic, 58.69
Mineral, Herbert Clark Hoover, Republican, 50.95
Mingo, Franklin Delano Roosevelt, Democratic, 52.46
Monongalia, Franklin Delano Roosevelt, Democratic, 53.69
Monroe, Franklin Delano Roosevelt, Democratic, 52.3
Morgan, Herbert Clark Hoover, Republican, 59.78
Nicholas, Franklin Delano Roosevelt, Democratic, 58.56
Ohio, Franklin Delano Roosevelt, Democratic, 53.22
Pendleton, Franklin Delano Roosevelt, Democratic, 62.52
Pleasants, Franklin Delano Roosevelt, Democratic, 54.5
Pocahontas, Franklin Delano Roosevelt, Democratic, 57
Preston, Herbert Clark Hoover, Republican, 56.05
Putnam, Franklin Delano Roosevelt, Democratic, 53.99
Raleigh, Franklin Delano Roosevelt, Democratic, 57.08
Randolph, Franklin Delano Roosevelt, Democratic, 67.72
Ritchie, Herbert Clark Hoover, Republican, 55.42
Roane, Franklin Delano Roosevelt, Democratic, 53.88
Summers, Franklin Delano Roosevelt, Democratic, 63.53
Taylor, Franklin Delano Roosevelt, Democratic, 51.82
Tucker, Franklin Delano Roosevelt, Democratic, 58.45
Tyler, Herbert Clark Hoover, Republican, 58.44
Upshur, Herbert Clark Hoover, Republican, 61.23
Wayne, Franklin Delano Roosevelt, Democratic, 64.44
Webster, Franklin Delano Roosevelt, Democratic, 66.92
Wetzel, Franklin Delano Roosevelt, Democratic, 64.08
Wirt, Franklin Delano Roosevelt, Democratic, 55.93
Wood, Franklin Delano Roosevelt, Democratic, 51.78
Wyoming, Franklin Delano Roosevelt, Democratic, 52.31
