Appling, Franklin Delano Roosevelt, Democratic, 90.38
Atkinson, Franklin Delano Roosevelt, Democratic, 94.2
Bacon, Franklin Delano Roosevelt, Democratic, 97.54
Baker, Franklin Delano Roosevelt, Democratic, 99.23
Baldwin, Franklin Delano Roosevelt, Democratic, 93.79
Banks, Franklin Delano Roosevelt, Democratic, 94.27
Barrow, Franklin Delano Roosevelt, Democratic, 97.03
Bartow, Franklin Delano Roosevelt, Democratic, 92.19
Ben Hill, Franklin Delano Roosevelt, Democratic, 91.94
Berrien, Franklin Delano Roosevelt, Democratic, 97.44
Bibb, Franklin Delano Roosevelt, Democratic, 90.93
Bleckley, Franklin Delano Roosevelt, Democratic, 97.24
Brantley, Franklin Delano Roosevelt, Democratic, 96.65
Brooks, Franklin Delano Roosevelt, Democratic, 94.69
Bryan, Franklin Delano Roosevelt, Democratic, 94.64
Bulloch, Franklin Delano Roosevelt, Democratic, 98.74
Burke, Franklin Delano Roosevelt, Democratic, 95.4
Butts, Franklin Delano Roosevelt, Democratic, 98.14
Calhoun, Franklin Delano Roosevelt, Democratic, 97.18
Camden, Franklin Delano Roosevelt, Democratic, 88.91
Candler, Franklin Delano Roosevelt, Democratic, 97.14
Carroll, Franklin Delano Roosevelt, Democratic, 91.14
Catoosa, Franklin Delano Roosevelt, Democratic, 88.18
Charlton, Franklin Delano Roosevelt, Democratic, 90.91
Chatham, Franklin Delano Roosevelt, Democratic, 82.31
Chattahoochee, Franklin Delano Roosevelt, Democratic, 99.47
Chattooga, Franklin Delano Roosevelt, Democratic, 91.25
Cherokee, Franklin Delano Roosevelt, Democratic, 83.88
Clarke, Franklin Delano Roosevelt, Democratic, 92.05
Clay, Franklin Delano Roosevelt, Democratic, 96.65
Clayton, Franklin Delano Roosevelt, Democratic, 97.01
Clinch, Franklin Delano Roosevelt, Democratic, 97.26
Cobb, Franklin Delano Roosevelt, Democratic, 92.71
Coffee, Franklin Delano Roosevelt, Democratic, 97.06
Colquitt, Franklin Delano Roosevelt, Democratic, 96.77
Columbia, Franklin Delano Roosevelt, Democratic, 97.96
Cook, Franklin Delano Roosevelt, Democratic, 97.78
Coweta, Franklin Delano Roosevelt, Democratic, 97.67
Crawford, Franklin Delano Roosevelt, Democratic, 96.8
Crisp, Franklin Delano Roosevelt, Democratic, 97.97
Dade, Franklin Delano Roosevelt, Democratic, 86.81
Dawson, Franklin Delano Roosevelt, Democratic, 83.88
Decatur, Franklin Delano Roosevelt, Democratic, 93
DeKalb, Franklin Delano Roosevelt, Democratic, 88.14
Dodge, Franklin Delano Roosevelt, Democratic, 98.8
Dooly, Franklin Delano Roosevelt, Democratic, 98.96
Dougherty, Franklin Delano Roosevelt, Democratic, 95.04
Douglas, Franklin Delano Roosevelt, Democratic, 93.19
Early, Franklin Delano Roosevelt, Democratic, 98.18
Echols, Franklin Delano Roosevelt, Democratic, 98.81
Effingham, Franklin Delano Roosevelt, Democratic, 84.92
Elbert, Franklin Delano Roosevelt, Democratic, 95.47
Emanuel, Franklin Delano Roosevelt, Democratic, 98.49
Evans, Franklin Delano Roosevelt, Democratic, 95.14
Fannin, Herbert Clark Hoover, Republican, 58.86
Fayette, Franklin Delano Roosevelt, Democratic, 99.07
Floyd, Franklin Delano Roosevelt, Democratic, 92.94
Forsyth, Franklin Delano Roosevelt, Democratic, 92.97
Franklin, Franklin Delano Roosevelt, Democratic, 93.16
Fulton, Franklin Delano Roosevelt, Democratic, 89.69
Gilmer, Franklin Delano Roosevelt, Democratic, 66.27
Glascock, Franklin Delano Roosevelt, Democratic, 98.25
Glynn, Franklin Delano Roosevelt, Democratic, 86.91
Gordon, Franklin Delano Roosevelt, Democratic, 92.42
Grady, Franklin Delano Roosevelt, Democratic, 96.89
Greene, Franklin Delano Roosevelt, Democratic, 94.44
Gwinnett, Franklin Delano Roosevelt, Democratic, 96.6
Habersham, Franklin Delano Roosevelt, Democratic, 86.95
Hall, Franklin Delano Roosevelt, Democratic, 95.29
Hancock, Franklin Delano Roosevelt, Democratic, 96.01
Haralson, Franklin Delano Roosevelt, Democratic, 85.14
Harris, Franklin Delano Roosevelt, Democratic, 97.26
Hart, Franklin Delano Roosevelt, Democratic, 98.98
Heard, Franklin Delano Roosevelt, Democratic, 97.34
Henry, Franklin Delano Roosevelt, Democratic, 97.65
Houston, Franklin Delano Roosevelt, Democratic, 94.46
Irwin, Franklin Delano Roosevelt, Democratic, 98.4
Jackson, Franklin Delano Roosevelt, Democratic, 93.54
Jasper, Franklin Delano Roosevelt, Democratic, 97.85
Jeff Davis, Franklin Delano Roosevelt, Democratic, 95.7
Jefferson, Franklin Delano Roosevelt, Democratic, 94.66
Jenkins, Franklin Delano Roosevelt, Democratic, 96.23
Johnson, Franklin Delano Roosevelt, Democratic, 98.06
Jones, Franklin Delano Roosevelt, Democratic, 99.46
Lamar, Franklin Delano Roosevelt, Democratic, 94.69
Lanier, Franklin Delano Roosevelt, Democratic, 97.24
Laurens, Franklin Delano Roosevelt, Democratic, 98.25
Lee, Franklin Delano Roosevelt, Democratic, 97.67
Liberty, Franklin Delano Roosevelt, Democratic, 93.83
Lincoln, Franklin Delano Roosevelt, Democratic, 99.4
Long, Franklin Delano Roosevelt, Democratic, 95.77
Lowndes, Franklin Delano Roosevelt, Democratic, 94.65
Lumpkin, Franklin Delano Roosevelt, Democratic, 91.94
Macon, Franklin Delano Roosevelt, Democratic, 96.06
Madison, Franklin Delano Roosevelt, Democratic, 97.88
Marion, Franklin Delano Roosevelt, Democratic, 94.99
McDuffie, Franklin Delano Roosevelt, Democratic, 94.04
McIntosh, Franklin Delano Roosevelt, Democratic, 93.45
Meriwether, Franklin Delano Roosevelt, Democratic, 97.82
Miller, Franklin Delano Roosevelt, Democratic, 98.99
Mitchell, Franklin Delano Roosevelt, Democratic, 99.06
Monroe, Franklin Delano Roosevelt, Democratic, 96.31
Montgomery, Franklin Delano Roosevelt, Democratic, 97.2
Morgan, Franklin Delano Roosevelt, Democratic, 91.75
Murray, Franklin Delano Roosevelt, Democratic, 83.92
Muscogee, Franklin Delano Roosevelt, Democratic, 93.07
Newton, Franklin Delano Roosevelt, Democratic, 96.82
Oconee, Franklin Delano Roosevelt, Democratic, 92.48
Oglethorpe, Franklin Delano Roosevelt, Democratic, 97.03
Paulding, Franklin Delano Roosevelt, Democratic, 85.98
Peach, Franklin Delano Roosevelt, Democratic, 90.7
Pickens, Franklin Delano Roosevelt, Democratic, 66.46
Pierce, Franklin Delano Roosevelt, Democratic, 96.9
Pike, Franklin Delano Roosevelt, Democratic, 95.96
Polk, Franklin Delano Roosevelt, Democratic, 91.14
Pulaski, Franklin Delano Roosevelt, Democratic, 98.58
Putnam, Franklin Delano Roosevelt, Democratic, 95.53
Quitman, Franklin Delano Roosevelt, Democratic, 98.35
Rabun, Franklin Delano Roosevelt, Democratic, 91.22
Randolph, Franklin Delano Roosevelt, Democratic, 97.18
Richmond, Franklin Delano Roosevelt, Democratic, 85.58
Rockdale, Franklin Delano Roosevelt, Democratic, 95.45
Schley, Franklin Delano Roosevelt, Democratic, 97.55
Screven, Franklin Delano Roosevelt, Democratic, 91.2
Seminole, Franklin Delano Roosevelt, Democratic, 96.28
Spalding, Franklin Delano Roosevelt, Democratic, 97.07
Stephens, Franklin Delano Roosevelt, Democratic, 97.53
Stewart, Franklin Delano Roosevelt, Democratic, 97.03
Sumter, Franklin Delano Roosevelt, Democratic, 95.69
Talbot, Franklin Delano Roosevelt, Democratic, 95
Taliaferro, Franklin Delano Roosevelt, Democratic, 99.41
Tattnall, Franklin Delano Roosevelt, Democratic, 98.02
Taylor, Franklin Delano Roosevelt, Democratic, 93.58
Telfair, Franklin Delano Roosevelt, Democratic, 93.6
Terrell, Franklin Delano Roosevelt, Democratic, 97.37
Thomas, Franklin Delano Roosevelt, Democratic, 96.2
Tift, Franklin Delano Roosevelt, Democratic, 95.09
Toombs, Franklin Delano Roosevelt, Democratic, 96.49
Towns, Herbert Clark Hoover, Republican, 51.57
Treutlen, Franklin Delano Roosevelt, Democratic, 95.93
Troup, Franklin Delano Roosevelt, Democratic, 96.62
Turner, Franklin Delano Roosevelt, Democratic, 93.04
Twiggs, Franklin Delano Roosevelt, Democratic, 97.29
Union, Franklin Delano Roosevelt, Democratic, 62.4
Upson, Franklin Delano Roosevelt, Democratic, 98.57
Walker, Franklin Delano Roosevelt, Democratic, 83.8
Walton, Franklin Delano Roosevelt, Democratic, 98.34
Ware, Franklin Delano Roosevelt, Democratic, 91.96
Warren, Franklin Delano Roosevelt, Democratic, 96.99
Washington, Franklin Delano Roosevelt, Democratic, 99.33
Wayne, Franklin Delano Roosevelt, Democratic, 93.97
Webster, Franklin Delano Roosevelt, Democratic, 97.92
Wheeler, Franklin Delano Roosevelt, Democratic, 97.41
White, Franklin Delano Roosevelt, Democratic, 94.45
Whitfield, Franklin Delano Roosevelt, Democratic, 81.87
Wilcox, Franklin Delano Roosevelt, Democratic, 95.97
Wilkes, Franklin Delano Roosevelt, Democratic, 95.75
Wilkinson, Franklin Delano Roosevelt, Democratic, 100
Worth, Franklin Delano Roosevelt, Democratic, 98.23
