Beaver, Franklin Delano Roosevelt, Democratic, 55.34
Box Elder, Franklin Delano Roosevelt, Democratic, 54.12
Cache, Franklin Delano Roosevelt, Democratic, 56.99
Carbon, Franklin Delano Roosevelt, Democratic, 69.26
Daggett, Herbert Clark Hoover, Republican, 52.94
Davis, Franklin Delano Roosevelt, Democratic, 53.51
Duchesne, Franklin Delano Roosevelt, Democratic, 51.76
Emery, Franklin Delano Roosevelt, Democratic, 56.64
Garfield, Herbert Clark Hoover, Republican, 68.43
Grand, Franklin Delano Roosevelt, Democratic, 62.86
Iron, Herbert Clark Hoover, Republican, 50.55
Juab, Franklin Delano Roosevelt, Democratic, 60.68
Kane, Herbert Clark Hoover, Republican, 71.86
Millard, Herbert Clark Hoover, Republican, 49.7
Morgan, Franklin Delano Roosevelt, Democratic, 51.23
Piute, Herbert Clark Hoover, Republican, 50.7
Rich, Franklin Delano Roosevelt, Democratic, 54.09
Salt Lake, Franklin Delano Roosevelt, Democratic, 58.34
San Juan, Herbert Clark Hoover, Republican, 48.94
Sanpete, Franklin Delano Roosevelt, Democratic, 52.69
Sevier, Franklin Delano Roosevelt, Democratic, 50.14
Summit, Franklin Delano Roosevelt, Democratic, 57.35
Tooele, Franklin Delano Roosevelt, Democratic, 56.12
Uintah, Franklin Delano Roosevelt, Democratic, 55.74
Utah, Franklin Delano Roosevelt, Democratic, 59.12
Wasatch, Franklin Delano Roosevelt, Democratic, 50.99
Washington, Franklin Delano Roosevelt, Democratic, 54.09
Wayne, Franklin Delano Roosevelt, Democratic, 49.63
Weber, Franklin Delano Roosevelt, Democratic, 56.16
