Adams, Franklin Delano Roosevelt, Democratic, 53.25
Allegheny, Franklin Delano Roosevelt, Democratic, 52.88
Armstrong, Herbert Clark Hoover, Republican, 52.1
Beaver, Franklin Delano Roosevelt, Democratic, 48
Bedford, Herbert Clark Hoover, Republican, 54.29
Berks, Franklin Delano Roosevelt, Democratic, 40.76
Blair, Herbert Clark Hoover, Republican, 56.95
Bradford, Herbert Clark Hoover, Republican, 63.34
Bucks, Herbert Clark Hoover, Republican, 59.07
Butler, Herbert Clark Hoover, Republican, 54.77
Cambria, Franklin Delano Roosevelt, Democratic, 55.13
Cameron, Herbert Clark Hoover, Republican, 64.31
Carbon, Herbert Clark Hoover, Republican, 48.52
Centre, Herbert Clark Hoover, Republican, 52.55
Chester, Herbert Clark Hoover, Republican, 69.21
Clarion, Franklin Delano Roosevelt, Democratic, 51.12
Clearfield, Franklin Delano Roosevelt, Democratic, 49.2
Clinton, Herbert Clark Hoover, Republican, 54.54
Columbia, Franklin Delano Roosevelt, Democratic, 53.77
Crawford, Herbert Clark Hoover, Republican, 51.72
Cumberland, Herbert Clark Hoover, Republican, 50.86
Dauphin, Herbert Clark Hoover, Republican, 60.31
Delaware, Herbert Clark Hoover, Republican, 68.19
Elk, Franklin Delano Roosevelt, Democratic, 51.7
Erie, Franklin Delano Roosevelt, Democratic, 48.44
Fayette, Franklin Delano Roosevelt, Democratic, 61.33
Forest, Herbert Clark Hoover, Republican, 63.34
Franklin, Herbert Clark Hoover, Republican, 52.96
Fulton, Franklin Delano Roosevelt, Democratic, 56.99
Greene, Franklin Delano Roosevelt, Democratic, 64.77
Huntingdon, Herbert Clark Hoover, Republican, 66.39
Indiana, Herbert Clark Hoover, Republican, 57.24
Jefferson, Herbert Clark Hoover, Republican, 52.48
Juniata, Franklin Delano Roosevelt, Democratic, 49.38
Lackawanna, Franklin Delano Roosevelt, Democratic, 53.28
Lancaster, Herbert Clark Hoover, Republican, 56.54
Lawrence, Herbert Clark Hoover, Republican, 55.1
Lebanon, Herbert Clark Hoover, Republican, 58.97
Lehigh, Franklin Delano Roosevelt, Democratic, 48.65
Luzerne, Franklin Delano Roosevelt, Democratic, 52.6
Lycoming, Herbert Clark Hoover, Republican, 55.43
McKean, Herbert Clark Hoover, Republican, 65.01
Mercer, Herbert Clark Hoover, Republican, 53.53
Mifflin, Herbert Clark Hoover, Republican, 58.95
Monroe, Franklin Delano Roosevelt, Democratic, 56.76
Montgomery, Herbert Clark Hoover, Republican, 64
Montour, Franklin Delano Roosevelt, Democratic, 54.86
Northampton, Franklin Delano Roosevelt, Democratic, 52.04
Northumberland, Franklin Delano Roosevelt, Democratic, 54.43
Perry, Herbert Clark Hoover, Republican, 53.23
Philadelphia, Herbert Clark Hoover, Republican, 54.54
Pike, Franklin Delano Roosevelt, Democratic, 51.84
Potter, Herbert Clark Hoover, Republican, 58.53
Schuylkill, Franklin Delano Roosevelt, Democratic, 50.53
Snyder, Herbert Clark Hoover, Republican, 59.37
Somerset, Herbert Clark Hoover, Republican, 58.56
Sullivan, Franklin Delano Roosevelt, Democratic, 51.42
Susquehanna, Herbert Clark Hoover, Republican, 55.99
Tioga, Herbert Clark Hoover, Republican, 75
Union, Herbert Clark Hoover, Republican, 61.63
Venango, Herbert Clark Hoover, Republican, 64.07
Warren, Herbert Clark Hoover, Republican, 57.24
Washington, Franklin Delano Roosevelt, Democratic, 55.07
Wayne, Herbert Clark Hoover, Republican, 61.47
Westmoreland, Franklin Delano Roosevelt, Democratic, 56.34
Wyoming, Herbert Clark Hoover, Republican, 58
York, Franklin Delano Roosevelt, Democratic, 51.1
