Adams, Franklin Delano Roosevelt, Democratic, 71.89
Ashland, Franklin Delano Roosevelt, Democratic, 64.9
Barron, Franklin Delano Roosevelt, Democratic, 63.35
Bayfield, Franklin Delano Roosevelt, Democratic, 55.88
Brown, Franklin Delano Roosevelt, Democratic, 72.34
Buffalo, Franklin Delano Roosevelt, Democratic, 64.68
Burnett, Franklin Delano Roosevelt, Democratic, 63.58
Calumet, Franklin Delano Roosevelt, Democratic, 80.84
Chippewa, Franklin Delano Roosevelt, Democratic, 62.92
Clark, Franklin Delano Roosevelt, Democratic, 69.77
Columbia, Franklin Delano Roosevelt, Democratic, 61.98
Crawford, Franklin Delano Roosevelt, Democratic, 70.24
Dane, Franklin Delano Roosevelt, Democratic, 56.13
Dodge, Franklin Delano Roosevelt, Democratic, 75.06
Door, Franklin Delano Roosevelt, Democratic, 61.61
Douglas, Franklin Delano Roosevelt, Democratic, 51.27
Dunn, Franklin Delano Roosevelt, Democratic, 54.19
Eau Claire, Franklin Delano Roosevelt, Democratic, 49.31
Florence, Franklin Delano Roosevelt, Democratic, 55.33
Fond du Lac, Franklin Delano Roosevelt, Democratic, 64.56
Forest, Franklin Delano Roosevelt, Democratic, 76.03
Grant, Franklin Delano Roosevelt, Democratic, 60.94
Green, Franklin Delano Roosevelt, Democratic, 61.73
Green Lake, Franklin Delano Roosevelt, Democratic, 66.53
Iowa, Franklin Delano Roosevelt, Democratic, 58.82
Iron, Franklin Delano Roosevelt, Democratic, 66.36
Jackson, Franklin Delano Roosevelt, Democratic, 64.42
Jefferson, Franklin Delano Roosevelt, Democratic, 68.28
Juneau, Franklin Delano Roosevelt, Democratic, 68.75
Kenosha, Franklin Delano Roosevelt, Democratic, 60.13
Kewaunee, Franklin Delano Roosevelt, Democratic, 84.94
La Crosse, Franklin Delano Roosevelt, Democratic, 62.1
Lafayette, Franklin Delano Roosevelt, Democratic, 59.49
Langlade, Franklin Delano Roosevelt, Democratic, 71.56
Lincoln, Franklin Delano Roosevelt, Democratic, 61.57
Manitowoc, Franklin Delano Roosevelt, Democratic, 75.44
Marathon, Franklin Delano Roosevelt, Democratic, 72.13
Marinette, Franklin Delano Roosevelt, Democratic, 53.41
Marquette, Franklin Delano Roosevelt, Democratic, 63.81
Milwaukee, Franklin Delano Roosevelt, Democratic, 65.62
Monroe, Franklin Delano Roosevelt, Democratic, 67.88
Oconto, Franklin Delano Roosevelt, Democratic, 68.04
Oneida, Franklin Delano Roosevelt, Democratic, 65.7
Outagamie, Franklin Delano Roosevelt, Democratic, 64.44
Ozaukee, Franklin Delano Roosevelt, Democratic, 80.59
Pepin, Franklin Delano Roosevelt, Democratic, 61.79
Pierce, Franklin Delano Roosevelt, Democratic, 51.57
Polk, Franklin Delano Roosevelt, Democratic, 58.72
Portage, Franklin Delano Roosevelt, Democratic, 71.72
Price, Franklin Delano Roosevelt, Democratic, 63.69
Racine, Franklin Delano Roosevelt, Democratic, 60.31
Richland, Franklin Delano Roosevelt, Democratic, 54.16
Rock, Herbert Clark Hoover, Republican, 56.07
Rusk, Franklin Delano Roosevelt, Democratic, 59.04
Sauk, Franklin Delano Roosevelt, Democratic, 59.36
Sawyer, Franklin Delano Roosevelt, Democratic, 64.35
Shawano, Franklin Delano Roosevelt, Democratic, 73.24
Sheboygan, Franklin Delano Roosevelt, Democratic, 67.62
St. Croix, Franklin Delano Roosevelt, Democratic, 59.58
Taylor, Franklin Delano Roosevelt, Democratic, 70.94
Trempealeau, Franklin Delano Roosevelt, Democratic, 66.06
Vernon, Franklin Delano Roosevelt, Democratic, 65.57
Vilas, Franklin Delano Roosevelt, Democratic, 61.34
Walworth, Herbert Clark Hoover, Republican, 52.91
Washburn, Franklin Delano Roosevelt, Democratic, 60.51
Washington, Franklin Delano Roosevelt, Democratic, 78.02
Waukesha, Franklin Delano Roosevelt, Democratic, 59.65
Waupaca, Franklin Delano Roosevelt, Democratic, 60.42
Waushara, Franklin Delano Roosevelt, Democratic, 53.56
Winnebago, Franklin Delano Roosevelt, Democratic, 55.98
Wood, Franklin Delano Roosevelt, Democratic, 67.65
