Allen, Herbert Clark Hoover, Republican, 50.47
Anderson, Franklin Delano Roosevelt, Democratic, 58.92
Atchison, Franklin Delano Roosevelt, Democratic, 53.33
Barber, Franklin Delano Roosevelt, Democratic, 56.78
Barton, Franklin Delano Roosevelt, Democratic, 57.98
Bourbon, Franklin Delano Roosevelt, Democratic, 55.58
Brown, Herbert Clark Hoover, Republican, 57.73
Butler, Franklin Delano Roosevelt, Democratic, 53.22
Chase, Franklin Delano Roosevelt, Democratic, 52.71
Chautauqua, Franklin Delano Roosevelt, Democratic, 51.9
Cherokee, Franklin Delano Roosevelt, Democratic, 62.64
Cheyenne, Franklin Delano Roosevelt, Democratic, 60.66
Clark, Franklin Delano Roosevelt, Democratic, 54.7
Clay, Franklin Delano Roosevelt, Democratic, 49.9
Cloud, Franklin Delano Roosevelt, Democratic, 57.05
Coffey, Franklin Delano Roosevelt, Democratic, 54.8
Comanche, Franklin Delano Roosevelt, Democratic, 54.6
Cowley, Franklin Delano Roosevelt, Democratic, 50.69
Crawford, Franklin Delano Roosevelt, Democratic, 59.75
Decatur, Franklin Delano Roosevelt, Democratic, 61.02
Dickinson, Franklin Delano Roosevelt, Democratic, 49.21
Doniphan, Herbert Clark Hoover, Republican, 51.37
Douglas, Herbert Clark Hoover, Republican, 58.67
Edwards, Franklin Delano Roosevelt, Democratic, 52.94
Elk, Franklin Delano Roosevelt, Democratic, 55.19
Ellis, Franklin Delano Roosevelt, Democratic, 74.52
Ellsworth, Franklin Delano Roosevelt, Democratic, 63.68
Finney, Franklin Delano Roosevelt, Democratic, 51.11
Ford, Franklin Delano Roosevelt, Democratic, 55.42
Franklin, Herbert Clark Hoover, Republican, 50.16
Geary, Franklin Delano Roosevelt, Democratic, 56.55
Gove, Franklin Delano Roosevelt, Democratic, 52.02
Graham, Franklin Delano Roosevelt, Democratic, 60.1
Grant, Franklin Delano Roosevelt, Democratic, 62.88
Gray, Franklin Delano Roosevelt, Democratic, 58.18
Greeley, Franklin Delano Roosevelt, Democratic, 52.26
Greenwood, Franklin Delano Roosevelt, Democratic, 51.66
Hamilton, Franklin Delano Roosevelt, Democratic, 57.52
Harper, Franklin Delano Roosevelt, Democratic, 55.59
Harvey, Herbert Clark Hoover, Republican, 49.28
Haskell, Franklin Delano Roosevelt, Democratic, 56.75
Hodgeman, Franklin Delano Roosevelt, Democratic, 53.15
Jackson, Franklin Delano Roosevelt, Democratic, 50.63
Jefferson, Franklin Delano Roosevelt, Democratic, 50.79
Jewell, Franklin Delano Roosevelt, Democratic, 48.83
Johnson, Herbert Clark Hoover, Republican, 49.53
Kearny, Franklin Delano Roosevelt, Democratic, 56.73
Kingman, Franklin Delano Roosevelt, Democratic, 60.22
Kiowa, Herbert Clark Hoover, Republican, 52.24
Labette, Franklin Delano Roosevelt, Democratic, 55.74
