Adams, Franklin Delano Roosevelt, Democratic, 66.62
Alexander, Franklin Delano Roosevelt, Democratic, 53.67
Bond, Franklin Delano Roosevelt, Democratic, 52.17
Boone, Herbert Clark Hoover, Republican, 69.23
Brown, Franklin Delano Roosevelt, Democratic, 70.67
Bureau, Franklin Delano Roosevelt, Democratic, 53.47
Calhoun, Franklin Delano Roosevelt, Democratic, 63.61
Carroll, Herbert Clark Hoover, Republican, 53.81
Cass, Franklin Delano Roosevelt, Democratic, 66.64
Champaign, Franklin Delano Roosevelt, Democratic, 53.02
Christian, Franklin Delano Roosevelt, Democratic, 63.12
Clark, Franklin Delano Roosevelt, Democratic, 57.27
Clay, Franklin Delano Roosevelt, Democratic, 56.61
Clinton, Franklin Delano Roosevelt, Democratic, 73.92
Coles, Franklin Delano Roosevelt, Democratic, 59.71
Cook, Franklin Delano Roosevelt, Democratic, 55.23
Crawford, Franklin Delano Roosevelt, Democratic, 56.31
Cumberland, Franklin Delano Roosevelt, Democratic, 58.75
DeKalb, Herbert Clark Hoover, Republican, 56.38
DeWitt, Franklin Delano Roosevelt, Democratic, 55.19
Douglas, Franklin Delano Roosevelt, Democratic, 60.15
DuPage, Herbert Clark Hoover, Republican, 56.23
Edgar, Franklin Delano Roosevelt, Democratic, 55.98
Edwards, Herbert Clark Hoover, Republican, 52.25
Effingham, Franklin Delano Roosevelt, Democratic, 67.96
Fayette, Franklin Delano Roosevelt, Democratic, 57.06
Ford, Franklin Delano Roosevelt, Democratic, 54.82
Franklin, Franklin Delano Roosevelt, Democratic, 63.35
Fulton, Franklin Delano Roosevelt, Democratic, 58.92
Gallatin, Franklin Delano Roosevelt, Democratic, 72.08
Greene, Franklin Delano Roosevelt, Democratic, 67.99
Grundy, Franklin Delano Roosevelt, Democratic, 51.05
Hamilton, Franklin Delano Roosevelt, Democratic, 61.34
Hancock, Franklin Delano Roosevelt, Democratic, 64.13
Hardin, Franklin Delano Roosevelt, Democratic, 49.95
Henderson, Franklin Delano Roosevelt, Democratic, 55.6
Henry, Herbert Clark Hoover, Republican, 51.25
Iroquois, Franklin Delano Roosevelt, Democratic, 59.34
Jackson, Franklin Delano Roosevelt, Democratic, 54.93
Jasper, Franklin Delano Roosevelt, Democratic, 65.27
Jefferson, Franklin Delano Roosevelt, Democratic, 63.28
Jersey, Franklin Delano Roosevelt, Democratic, 62.73
Jo Daviess, Franklin Delano Roosevelt, Democratic, 54.01
Johnson, Herbert Clark Hoover, Republican, 49.87
Kane, Herbert Clark Hoover, Republican, 56.15
Kankakee, Franklin Delano Roosevelt, Democratic, 54.67
Kendall, Herbert Clark Hoover, Republican, 52.77
Knox, Franklin Delano Roosevelt, Democratic, 49.29
Lake, Herbert Clark Hoover, Republican, 50.92
LaSalle, Franklin Delano Roosevelt, Democratic, 57.79
