Aitkin, Franklin Delano Roosevelt, Democratic, 51.28
Anoka, Franklin Delano Roosevelt, Democratic, 59.47
Becker, Franklin Delano Roosevelt, Democratic, 67.56
Beltrami, Franklin Delano Roosevelt, Democratic, 60.73
Benton, Franklin Delano Roosevelt, Democratic, 72.92
Big Stone, Franklin Delano Roosevelt, Democratic, 77.37
Blue Earth, Franklin Delano Roosevelt, Democratic, 57.88
Brown, Franklin Delano Roosevelt, Democratic, 75
Carlton, Franklin Delano Roosevelt, Democratic, 45.75
Carver, Franklin Delano Roosevelt, Democratic, 62.71
Cass, Franklin Delano Roosevelt, Democratic, 57.82
Chippewa, Franklin Delano Roosevelt, Democratic, 64.95
Chisago, Franklin Delano Roosevelt, Democratic, 52.95
Clay, Franklin Delano Roosevelt, Democratic, 67.75
Clearwater, Franklin Delano Roosevelt, Democratic, 72.81
Cook, Franklin Delano Roosevelt, Democratic, 50.93
Cottonwood, Franklin Delano Roosevelt, Democratic, 59
Crow Wing, Franklin Delano Roosevelt, Democratic, 52.91
Dakota, Franklin Delano Roosevelt, Democratic, 65.7
Dodge, Franklin Delano Roosevelt, Democratic, 54.69
Douglas, Franklin Delano Roosevelt, Democratic, 66.63
Faribault, Franklin Delano Roosevelt, Democratic, 51.62
Fillmore, Franklin Delano Roosevelt, Democratic, 50.03
Freeborn, Franklin Delano Roosevelt, Democratic, 52.82
Goodhue, Franklin Delano Roosevelt, Democratic, 55.97
Grant, Franklin Delano Roosevelt, Democratic, 68.67
Hennepin, Franklin Delano Roosevelt, Democratic, 54.8
Houston, Franklin Delano Roosevelt, Democratic, 55.71
Hubbard, Franklin Delano Roosevelt, Democratic, 59.45
Isanti, Franklin Delano Roosevelt, Democratic, 64.53
Itasca, Franklin Delano Roosevelt, Democratic, 54.86
Jackson, Franklin Delano Roosevelt, Democratic, 71.67
Kanabec, Franklin Delano Roosevelt, Democratic, 58.42
Kandiyohi, Franklin Delano Roosevelt, Democratic, 65.31
Kittson, Franklin Delano Roosevelt, Democratic, 68.27
Koochiching, Franklin Delano Roosevelt, Democratic, 63.29
Lac qui Parle, Franklin Delano Roosevelt, Democratic, 66.53
Lake, Herbert Clark Hoover, Republican, 42.97
Lake of the Woods, Franklin Delano Roosevelt, Democratic, 62.03
Le Sueur, Franklin Delano Roosevelt, Democratic, 72.57
Lincoln, Franklin Delano Roosevelt, Democratic, 72.91
Lyon, Franklin Delano Roosevelt, Democratic, 67.57
McLeod, Franklin Delano Roosevelt, Democratic, 68.18
Mahnomen, Franklin Delano Roosevelt, Democratic, 83.81
Marshall, Franklin Delano Roosevelt, Democratic, 59.66
Martin, Franklin Delano Roosevelt, Democratic, 60.26
Meeker, Franklin Delano Roosevelt, Democratic, 66.08
Mille Lacs, Franklin Delano Roosevelt, Democratic, 60.62
Morrison, Franklin Delano Roosevelt, Democratic, 73.57
Mower, Franklin Delano Roosevelt, Democratic, 60.58
Murray, Franklin Delano Roosevelt, Democratic, 70.07
Nicollet, Franklin Delano Roosevelt, Democratic, 62.58
Nobles, Franklin Delano Roosevelt, Democratic, 63.51
Norman, Franklin Delano Roosevelt, Democratic, 68.8
Olmsted, Franklin Delano Roosevelt, Democratic, 57.01
Otter Tail, Franklin Delano Roosevelt, Democratic, 51.9
Pennington, Franklin Delano Roosevelt, Democratic, 63.64
Pine, Franklin Delano Roosevelt, Democratic, 62.33
Pipestone, Franklin Delano Roosevelt, Democratic, 65.44
Polk, Franklin Delano Roosevelt, Democratic, 66.35
Pope, Franklin Delano Roosevelt, Democratic, 66.56
Ramsey, Franklin Delano Roosevelt, Democratic, 61.24
Red Lake, Franklin Delano Roosevelt, Democratic, 80.86
Redwood, Franklin Delano Roosevelt, Democratic, 63.2
Renville, Franklin Delano Roosevelt, Democratic, 68.11
Rice, Franklin Delano Roosevelt, Democratic, 56.08
Rock, Franklin Delano Roosevelt, Democratic, 64.15
Roseau, Franklin Delano Roosevelt, Democratic, 66.41
Saint Louis, Franklin Delano Roosevelt, Democratic, 47.99
Scott, Franklin Delano Roosevelt, Democratic, 80.64
Sherburne, Franklin Delano Roosevelt, Democratic, 53.46
Sibley, Franklin Delano Roosevelt, Democratic, 76.27
Stearns, Franklin Delano Roosevelt, Democratic, 79.36
Steele, Franklin Delano Roosevelt, Democratic, 55.43
Stevens, Franklin Delano Roosevelt, Democratic, 63.96
Swift, Franklin Delano Roosevelt, Democratic, 75.04
Todd, Franklin Delano Roosevelt, Democratic, 64.16
Traverse, Franklin Delano Roosevelt, Democratic, 80.23
Wabasha, Franklin Delano Roosevelt, Democratic, 65.06
Wadena, Franklin Delano Roosevelt, Democratic, 57.07
Waseca, Franklin Delano Roosevelt, Democratic, 64.46
Washington, Franklin Delano Roosevelt, Democratic, 60.18
Watonwan, Franklin Delano Roosevelt, Democratic, 57.71
Wilkin, Franklin Delano Roosevelt, Democratic, 67.94
Winona, Franklin Delano Roosevelt, Democratic, 62.41
Wright, Franklin Delano Roosevelt, Democratic, 66.53
Yellow Medicine, Franklin Delano Roosevelt, Democratic, 71.14
