Arkansas, Franklin Delano Roosevelt, Democratic, 84.45
Ashley, Franklin Delano Roosevelt, Democratic, 92.83
Baxter, Franklin Delano Roosevelt, Democratic, 82.85
Benton, Franklin Delano Roosevelt, Democratic, 72.62
Boone, Franklin Delano Roosevelt, Democratic, 78.11
Bradley, Franklin Delano Roosevelt, Democratic, 93.76
Calhoun, Franklin Delano Roosevelt, Democratic, 94.85
Carroll, Franklin Delano Roosevelt, Democratic, 73.1
Chicot, Franklin Delano Roosevelt, Democratic, 94.38
Clark, Franklin Delano Roosevelt, Democratic, 93.88
Clay, Franklin Delano Roosevelt, Democratic, 82
Cleburne, Franklin Delano Roosevelt, Democratic, 88.29
Cleveland, Franklin Delano Roosevelt, Democratic, 93.87
Columbia, Franklin Delano Roosevelt, Democratic, 96.22
Conway, Franklin Delano Roosevelt, Democratic, 89.24
Craighead, Franklin Delano Roosevelt, Democratic, 87.09
Crawford, Franklin Delano Roosevelt, Democratic, 77.46
Crittenden, Franklin Delano Roosevelt, Democratic, 98.25
Cross, Franklin Delano Roosevelt, Democratic, 95.47
Dallas, Franklin Delano Roosevelt, Democratic, 93.16
Desha, Franklin Delano Roosevelt, Democratic, 94.51
Drew, Franklin Delano Roosevelt, Democratic, 89.39
Faulkner, Franklin Delano Roosevelt, Democratic, 84.77
Franklin, Franklin Delano Roosevelt, Democratic, 84.83
Fulton, Franklin Delano Roosevelt, Democratic, 83.84
Garland, Franklin Delano Roosevelt, Democratic, 83.6
Grant, Franklin Delano Roosevelt, Democratic, 96.5
Greene, Franklin Delano Roosevelt, Democratic, 91.43
Hempstead, Franklin Delano Roosevelt, Democratic, 89.9
Hot Spring, Franklin Delano Roosevelt, Democratic, 90.59
Howard, Franklin Delano Roosevelt, Democratic, 91.02
Independence, Franklin Delano Roosevelt, Democratic, 86.34
Izard, Franklin Delano Roosevelt, Democratic, 85.27
Jackson, Franklin Delano Roosevelt, Democratic, 92.58
Jefferson, Franklin Delano Roosevelt, Democratic, 92.23
Johnson, Franklin Delano Roosevelt, Democratic, 81.6
Lafayette, Franklin Delano Roosevelt, Democratic, 90.5
Lawrence, Franklin Delano Roosevelt, Democratic, 89.54
Lee, Franklin Delano Roosevelt, Democratic, 97.44
Lincoln, Franklin Delano Roosevelt, Democratic, 96.3
Little River, Franklin Delano Roosevelt, Democratic, 91.8
Logan, Franklin Delano Roosevelt, Democratic, 78.54
Lonoke, Franklin Delano Roosevelt, Democratic, 94.04
Madison, Franklin Delano Roosevelt, Democratic, 55.01
Marion, Franklin Delano Roosevelt, Democratic, 80.18
Miller, Franklin Delano Roosevelt, Democratic, 91.57
Mississippi, Franklin Delano Roosevelt, Democratic, 93.12
Monroe, Franklin Delano Roosevelt, Democratic, 90.59
Montgomery, Franklin Delano Roosevelt, Democratic, 85.97
Nevada, Franklin Delano Roosevelt, Democratic, 91.97
Newton, Franklin Delano Roosevelt, Democratic, 62.32
Ouachita, Franklin Delano Roosevelt, Democratic, 87.66
Perry, Franklin Delano Roosevelt, Democratic, 91.38
Phillips, Franklin Delano Roosevelt, Democratic, 94.66
Pike, Franklin Delano Roosevelt, Democratic, 89.21
Poinsett, Franklin Delano Roosevelt, Democratic, 93.01
Polk, Franklin Delano Roosevelt, Democratic, 83.67
Pope, Franklin Delano Roosevelt, Democratic, 88.49
Prairie, Franklin Delano Roosevelt, Democratic, 91.21
Pulaski, Franklin Delano Roosevelt, Democratic, 85.46
Randolph, Franklin Delano Roosevelt, Democratic, 90.1
St. Francis, Franklin Delano Roosevelt, Democratic, 92.56
Saline, Franklin Delano Roosevelt, Democratic, 93.47
Scott, Franklin Delano Roosevelt, Democratic, 79.42
Searcy, Franklin Delano Roosevelt, Democratic, 52.38
Sebastian, Franklin Delano Roosevelt, Democratic, 78.87
Sevier, Franklin Delano Roosevelt, Democratic, 91.61
Sharp, Franklin Delano Roosevelt, Democratic, 89.89
Stone, Franklin Delano Roosevelt, Democratic, 79.14
Union, Franklin Delano Roosevelt, Democratic, 94.61
Van Buren, Franklin Delano Roosevelt, Democratic, 77.04
Washington, Franklin Delano Roosevelt, Democratic, 75.36
White, Franklin Delano Roosevelt, Democratic, 87.75
Woodruff, Franklin Delano Roosevelt, Democratic, 92.19
Yell, Franklin Delano Roosevelt, Democratic, 87.77
