Adair, Franklin Delano Roosevelt, Democratic, 66.26
Alfalfa, Franklin Delano Roosevelt, Democratic, 64.13
Atoka, Franklin Delano Roosevelt, Democratic, 86.75
Beaver, Franklin Delano Roosevelt, Democratic, 65.28
Beckham, Franklin Delano Roosevelt, Democratic, 87.02
Blaine, Franklin Delano Roosevelt, Democratic, 73.2
Bryan, Franklin Delano Roosevelt, Democratic, 90.3
Caddo, Franklin Delano Roosevelt, Democratic, 78.73
Canadian, Franklin Delano Roosevelt, Democratic, 72.64
Carter, Franklin Delano Roosevelt, Democratic, 84.75
Cherokee, Franklin Delano Roosevelt, Democratic, 67.07
Choctaw, Franklin Delano Roosevelt, Democratic, 82.52
Cimarron, Franklin Delano Roosevelt, Democratic, 76.85
Cleveland, Franklin Delano Roosevelt, Democratic, 76.16
Coal, Franklin Delano Roosevelt, Democratic, 90.28
Comanche, Franklin Delano Roosevelt, Democratic, 78.76
Cotton, Franklin Delano Roosevelt, Democratic, 85.38
Craig, Franklin Delano Roosevelt, Democratic, 69.59
Creek, Franklin Delano Roosevelt, Democratic, 65.64
Custer, Franklin Delano Roosevelt, Democratic, 79.61
Delaware, Franklin Delano Roosevelt, Democratic, 71.49
Dewey, Franklin Delano Roosevelt, Democratic, 78.58
Ellis, Franklin Delano Roosevelt, Democratic, 71.96
Garfield, Franklin Delano Roosevelt, Democratic, 61.18
Garvin, Franklin Delano Roosevelt, Democratic, 88.34
Grady, Franklin Delano Roosevelt, Democratic, 81.97
Grant, Franklin Delano Roosevelt, Democratic, 69.97
Greer, Franklin Delano Roosevelt, Democratic, 91.03
Harmon, Franklin Delano Roosevelt, Democratic, 94.15
Harper, Franklin Delano Roosevelt, Democratic, 73.2
Haskell, Franklin Delano Roosevelt, Democratic, 75.17
Hughes, Franklin Delano Roosevelt, Democratic, 85.34
Jackson, Franklin Delano Roosevelt, Democratic, 90.52
Jefferson, Franklin Delano Roosevelt, Democratic, 88.03
Johnston, Franklin Delano Roosevelt, Democratic, 90.88
Kay, Franklin Delano Roosevelt, Democratic, 68.58
Kingfisher, Franklin Delano Roosevelt, Democratic, 65.46
Kiowa, Franklin Delano Roosevelt, Democratic, 84.34
Latimer, Franklin Delano Roosevelt, Democratic, 81.08
Le Flore, Franklin Delano Roosevelt, Democratic, 78.6
Lincoln, Franklin Delano Roosevelt, Democratic, 68.55
Logan, Franklin Delano Roosevelt, Democratic, 59.32
Love, Franklin Delano Roosevelt, Democratic, 92.84
Major, Franklin Delano Roosevelt, Democratic, 64.76
Marshall, Franklin Delano Roosevelt, Democratic, 91.03
Mayes, Franklin Delano Roosevelt, Democratic, 73.58
McClain, Franklin Delano Roosevelt, Democratic, 86.15
McCurtain, Franklin Delano Roosevelt, Democratic, 90.93
McIntosh, Franklin Delano Roosevelt, Democratic, 80.8
Murray, Franklin Delano Roosevelt, Democratic, 85.3
Muskogee, Franklin Delano Roosevelt, Democratic, 70.23
Noble, Franklin Delano Roosevelt, Democratic, 72.97
Nowata, Franklin Delano Roosevelt, Democratic, 66.51
Okfuskee, Franklin Delano Roosevelt, Democratic, 78.37
Oklahoma, Franklin Delano Roosevelt, Democratic, 65.94
Okmulgee, Franklin Delano Roosevelt, Democratic, 70.33
Osage, Franklin Delano Roosevelt, Democratic, 69.41
Ottawa, Franklin Delano Roosevelt, Democratic, 71.81
Pawnee, Franklin Delano Roosevelt, Democratic, 68.68
Payne, Franklin Delano Roosevelt, Democratic, 66.87
Pittsburg, Franklin Delano Roosevelt, Democratic, 81.47
Pontotoc, Franklin Delano Roosevelt, Democratic, 85.69
Pottawatomie, Franklin Delano Roosevelt, Democratic, 74.73
Pushmataha, Franklin Delano Roosevelt, Democratic, 87.46
Roger Mills, Franklin Delano Roosevelt, Democratic, 87.71
Rogers, Franklin Delano Roosevelt, Democratic, 74
Seminole, Franklin Delano Roosevelt, Democratic, 78.4
Sequoyah, Franklin Delano Roosevelt, Democratic, 71.96
Stephens, Franklin Delano Roosevelt, Democratic, 88.39
Texas, Franklin Delano Roosevelt, Democratic, 74.62
Tillman, Franklin Delano Roosevelt, Democratic, 90.46
Tulsa, Franklin Delano Roosevelt, Democratic, 58.04
Wagoner, Franklin Delano Roosevelt, Democratic, 72.74
Washington, Franklin Delano Roosevelt, Democratic, 59.29
Washita, Franklin Delano Roosevelt, Democratic, 87.21
Woods, Franklin Delano Roosevelt, Democratic, 68.06
Woodward, Franklin Delano Roosevelt, Democratic, 71.19
