Aurora, Franklin Delano Roosevelt, Democratic, 71.58
Beadle, Franklin Delano Roosevelt, Democratic, 66.83
Bennett, Franklin Delano Roosevelt, Democratic, 73.9
Bon Homme, Franklin Delano Roosevelt, Democratic, 71.72
Brookings, Franklin Delano Roosevelt, Democratic, 49.2
Brown, Franklin Delano Roosevelt, Democratic, 63.74
Brule, Franklin Delano Roosevelt, Democratic, 74.36
Buffalo, Franklin Delano Roosevelt, Democratic, 69.59
Butte, Franklin Delano Roosevelt, Democratic, 50.46
Campbell, Franklin Delano Roosevelt, Democratic, 58.61
Charles Mix, Franklin Delano Roosevelt, Democratic, 78.86
Clark, Franklin Delano Roosevelt, Democratic, 61.6
Clay, Franklin Delano Roosevelt, Democratic, 65.74
Codington, Franklin Delano Roosevelt, Democratic, 64.98
Corson, Franklin Delano Roosevelt, Democratic, 68.97
Custer, Franklin Delano Roosevelt, Democratic, 60.28
Davison, Franklin Delano Roosevelt, Democratic, 69.96
Day, Franklin Delano Roosevelt, Democratic, 63.16
Deuel, Franklin Delano Roosevelt, Democratic, 58.96
Dewey, Franklin Delano Roosevelt, Democratic, 68.37
Douglas, Franklin Delano Roosevelt, Democratic, 65.39
Edmunds, Franklin Delano Roosevelt, Democratic, 67.47
Fall River, Franklin Delano Roosevelt, Democratic, 64.61
Faulk, Franklin Delano Roosevelt, Democratic, 59.49
Grant, Franklin Delano Roosevelt, Democratic, 64.56
Gregory, Franklin Delano Roosevelt, Democratic, 73.3
Haakon, Franklin Delano Roosevelt, Democratic, 55.73
Hamlin, Franklin Delano Roosevelt, Democratic, 59.44
Hand, Franklin Delano Roosevelt, Democratic, 64.75
Hanson, Franklin Delano Roosevelt, Democratic, 67.28
Harding, Franklin Delano Roosevelt, Democratic, 49.52
Hughes, Franklin Delano Roosevelt, Democratic, 56.64
Hutchinson, Franklin Delano Roosevelt, Democratic, 69.92
Hyde, Franklin Delano Roosevelt, Democratic, 56.08
Jackson, Franklin Delano Roosevelt, Democratic, 60.42
Jerauld, Franklin Delano Roosevelt, Democratic, 66.33
Jones, Franklin Delano Roosevelt, Democratic, 63.85
Kingsbury, Franklin Delano Roosevelt, Democratic, 55.79
Lake, Franklin Delano Roosevelt, Democratic, 57.15
Lawrence, Herbert Clark Hoover, Republican, 53.99
Lincoln, Franklin Delano Roosevelt, Democratic, 59.35
Lyman, Franklin Delano Roosevelt, Democratic, 68.83
Marshall, Franklin Delano Roosevelt, Democratic, 62.01
McCook, Franklin Delano Roosevelt, Democratic, 65.22
McPherson, Franklin Delano Roosevelt, Democratic, 80.25
Meade, Franklin Delano Roosevelt, Democratic, 58.31
Mellette, Franklin Delano Roosevelt, Democratic, 70.2
Miner, Franklin Delano Roosevelt, Democratic, 68.27
Minnehaha, Franklin Delano Roosevelt, Democratic, 54.34
Moody, Franklin Delano Roosevelt, Democratic, 65.21
Pennington, Franklin Delano Roosevelt, Democratic, 58.34
Perkins, Franklin Delano Roosevelt, Democratic, 53.96
Potter, Franklin Delano Roosevelt, Democratic, 70.98
Roberts, Franklin Delano Roosevelt, Democratic, 69.72
Sanborn, Franklin Delano Roosevelt, Democratic, 73.09
Shannon, Franklin Delano Roosevelt, Democratic, 63.23
Spink, Franklin Delano Roosevelt, Democratic, 60.98
Stanley, Franklin Delano Roosevelt, Democratic, 56.66
Sully, Franklin Delano Roosevelt, Democratic, 61.25
Todd, Franklin Delano Roosevelt, Democratic, 73.01
Tripp, Franklin Delano Roosevelt, Democratic, 75.26
Turner, Franklin Delano Roosevelt, Democratic, 58.65
Union, Franklin Delano Roosevelt, Democratic, 71.21
Walworth, Franklin Delano Roosevelt, Democratic, 66.9
Washabaugh, Franklin Delano Roosevelt, Democratic, 80.42
Washington, Franklin Delano Roosevelt, Democratic, 67.99
Yankton, Franklin Delano Roosevelt, Democratic, 73.25
Ziebach, Franklin Delano Roosevelt, Democratic, 66.67
