Autauga, Franklin D. Roosevelt, Democratic, 89.81
Baldwin, Franklin D. Roosevelt, Democratic, 75.43
Barbour, Franklin D. Roosevelt, Democratic, 96.88
Bibb, Franklin D. Roosevelt, Democratic, 90.29
Blount, Franklin D. Roosevelt, Democratic, 77.99
Bullock, Franklin D. Roosevelt, Democratic, 98.72
Butler, Franklin D. Roosevelt, Democratic, 96.45
Calhoun, Franklin D. Roosevelt, Democratic, 85.98
Chambers, Franklin D. Roosevelt, Democratic, 87.85
Cherokee, Franklin D. Roosevelt, Democratic, 83.09
Chilton, Franklin D. Roosevelt, Democratic, 51.17
Choctaw, Franklin D. Roosevelt, Democratic, 96.9
Clarke, Franklin D. Roosevelt, Democratic, 97.69
Clay, Franklin D. Roosevelt, Democratic, 68.78
Cleburne, Franklin D. Roosevelt, Democratic, 77.43
Coffee, Franklin D. Roosevelt, Democratic, 96.73
Colbert, Franklin D. Roosevelt, Democratic, 89.64
Conecuh, Franklin D. Roosevelt, Democratic, 94.91
Coosa, Franklin D. Roosevelt, Democratic, 82.63
Covington, Franklin D. Roosevelt, Democratic, 97.15
Crenshaw, Franklin D. Roosevelt, Democratic, 93.2
Cullman, Franklin D. Roosevelt, Democratic, 73.78
Dale, Franklin D. Roosevelt, Democratic, 93.65
Dallas, Franklin D. Roosevelt, Democratic, 96.62
DeKalb, Franklin D. Roosevelt, Democratic, 54.13
Elmore, Franklin D. Roosevelt, Democratic, 87.88
Escambia, Franklin D. Roosevelt, Democratic, 92.67
Etowah, Franklin D. Roosevelt, Democratic, 82.08
Fayette, Franklin D. Roosevelt, Democratic, 72.7
Franklin, Franklin D. Roosevelt, Democratic, 64.53
Geneva, Franklin D. Roosevelt, Democratic, 90.33
Greene, Franklin D. Roosevelt, Democratic, 95.82
Hale, Franklin D. Roosevelt, Democratic, 94.59
Henry, Franklin D. Roosevelt, Democratic, 97.43
Houston, Franklin D. Roosevelt, Democratic, 95.83
Jackson, Franklin D. Roosevelt, Democratic, 76.69
Jefferson, Franklin D. Roosevelt, Democratic, 85.15
Lamar, Franklin D. Roosevelt, Democratic, 89.24
Lauderdale, Franklin D. Roosevelt, Democratic, 88.09
Lawrence, Franklin D. Roosevelt, Democratic, 86.53
Lee, Franklin D. Roosevelt, Democratic, 94.53
Limestone, Franklin D. Roosevelt, Democratic, 95.94
Lowndes, Franklin D. Roosevelt, Democratic, 98.35
Macon, Franklin D. Roosevelt, Democratic, 94.07
Madison, Franklin D. Roosevelt, Democratic, 88.76
Marengo, Franklin D. Roosevelt, Democratic, 95.45
Marion, Franklin D. Roosevelt, Democratic, 80.73
Marshall, Franklin D. Roosevelt, Democratic, 79.45
Mobile, Franklin D. Roosevelt, Democratic, 84.37
Monroe, Franklin D. Roosevelt, Democratic, 96.52
Montgomery, Franklin D. Roosevelt, Democratic, 95.57
Morgan, Franklin D. Roosevelt, Democratic, 86.62
Perry, Franklin D. Roosevelt, Democratic, 95.05
Pickens, Franklin D. Roosevelt, Democratic, 87.1
Pike, Franklin D. Roosevelt, Democratic, 97.92
Randolph, Franklin D. Roosevelt, Democratic, 74.09
Russell, Franklin D. Roosevelt, Democratic, 97.28
Shelby, Franklin D. Roosevelt, Democratic, 72.48
St. Clair, Franklin D. Roosevelt, Democratic, 59.46
Sumter, Franklin D. Roosevelt, Democratic, 98.03
Talladega, Franklin D. Roosevelt, Democratic, 84.33
Tallapoosa, Franklin D. Roosevelt, Democratic, 95.87
Tuscaloosa, Franklin D. Roosevelt, Democratic, 94.08
Walker, Franklin D. Roosevelt, Democratic, 74.31
Washington, Franklin D. Roosevelt, Democratic, 94.1
Wilcox, Franklin D. Roosevelt, Democratic, 98.33
Winston, Franklin D. Roosevelt, Democratic, 49.83
