Adams, Franklin Delano Roosevelt, Democratic, 56.48
Antelope, Franklin Delano Roosevelt, Democratic, 63.17
Arthur, Franklin Delano Roosevelt, Democratic, 56.71
Banner, Franklin Delano Roosevelt, Democratic, 54.84
Blaine, Franklin Delano Roosevelt, Democratic, 62.55
Boone, Franklin Delano Roosevelt, Democratic, 69.31
Box Butte, Franklin Delano Roosevelt, Democratic, 59.4
Boyd, Franklin Delano Roosevelt, Democratic, 70.95
Brown, Franklin Delano Roosevelt, Democratic, 56.91
Buffalo, Franklin Delano Roosevelt, Democratic, 59.18
Burt, Franklin Delano Roosevelt, Democratic, 66.02
Butler, Franklin Delano Roosevelt, Democratic, 71.84
Cass, Franklin Delano Roosevelt, Democratic, 63.86
Cedar, Franklin Delano Roosevelt, Democratic, 73.99
Chase, Franklin Delano Roosevelt, Democratic, 57.35
Cherry, Franklin Delano Roosevelt, Democratic, 61.92
Cheyenne, Franklin Delano Roosevelt, Democratic, 68.71
Clay, Franklin Delano Roosevelt, Democratic, 60.82
Colfax, Franklin Delano Roosevelt, Democratic, 85.29
Cuming, Franklin Delano Roosevelt, Democratic, 77.87
Custer, Franklin Delano Roosevelt, Democratic, 61.74
Dakota, Franklin Delano Roosevelt, Democratic, 77.32
Dawes, Franklin Delano Roosevelt, Democratic, 52.59
Dawson, Franklin Delano Roosevelt, Democratic, 60.13
Deuel, Franklin Delano Roosevelt, Democratic, 61.93
Dixon, Franklin Delano Roosevelt, Democratic, 63.46
Dodge, Franklin Delano Roosevelt, Democratic, 66.76
Douglas, Franklin Delano Roosevelt, Democratic, 62.62
Dundy, Franklin Delano Roosevelt, Democratic, 57.09
Fillmore, Franklin Delano Roosevelt, Democratic, 62.15
Franklin, Franklin Delano Roosevelt, Democratic, 64.36
Frontier, Franklin Delano Roosevelt, Democratic, 60.86
Furnas, Franklin Delano Roosevelt, Democratic, 60.31
Gage, Franklin Delano Roosevelt, Democratic, 60.73
Garden, Franklin Delano Roosevelt, Democratic, 59.9
Garfield, Franklin Delano Roosevelt, Democratic, 54.69
Gosper, Franklin Delano Roosevelt, Democratic, 71.84
Grant, Franklin Delano Roosevelt, Democratic, 58.87
Greeley, Franklin Delano Roosevelt, Democratic, 75.66
Hall, Franklin Delano Roosevelt, Democratic, 59.72
Hamilton, Franklin Delano Roosevelt, Democratic, 58.78
Harlan, Franklin Delano Roosevelt, Democratic, 64.09
Hayes, Franklin Delano Roosevelt, Democratic, 63.79
Hitchcock, Franklin Delano Roosevelt, Democratic, 59.4
Holt, Franklin Delano Roosevelt, Democratic, 66.13
Hooker, Franklin Delano Roosevelt, Democratic, 66.93
Howard, Franklin Delano Roosevelt, Democratic, 79.17
Jefferson, Franklin Delano Roosevelt, Democratic, 65.1
Johnson, Franklin Delano Roosevelt, Democratic, 59.91
Kearney, Franklin Delano Roosevelt, Democratic, 66.32
Keith, Franklin Delano Roosevelt, Democratic, 67.17
Keya Paha, Herbert Clark Hoover, Republican, 50.52
Kimball, Franklin Delano Roosevelt, Democratic, 60.09
Knox, Franklin Delano Roosevelt, Democratic, 73.36
Lancaster, Herbert Clark Hoover, Republican, 52.29
Lincoln, Franklin Delano Roosevelt, Democratic, 64.12
Logan, Franklin Delano Roosevelt, Democratic, 60.84
Loup, Franklin Delano Roosevelt, Democratic, 55.33
Madison, Franklin Delano Roosevelt, Democratic, 67.24
McPherson, Franklin Delano Roosevelt, Democratic, 54.86
Merrick, Franklin Delano Roosevelt, Democratic, 61.35
Morrill, Franklin Delano Roosevelt, Democratic, 57.77
Nance, Franklin Delano Roosevelt, Democratic, 67.71
Nemaha, Franklin Delano Roosevelt, Democratic, 62.94
Nuckolls, Franklin Delano Roosevelt, Democratic, 64.13
Otoe, Franklin Delano Roosevelt, Democratic, 59.71
Pawnee, Franklin Delano Roosevelt, Democratic, 62.16
Perkins, Franklin Delano Roosevelt, Democratic, 69.6
Phelps, Franklin Delano Roosevelt, Democratic, 59.22
Pierce, Franklin Delano Roosevelt, Democratic, 71.93
Platte, Franklin Delano Roosevelt, Democratic, 77.56
Polk, Franklin Delano Roosevelt, Democratic, 63.5
Red Willow, Franklin Delano Roosevelt, Democratic, 62.21
Richardson, Franklin Delano Roosevelt, Democratic, 65.26
Rock, Franklin Delano Roosevelt, Democratic, 56.06
Saline, Franklin Delano Roosevelt, Democratic, 73.85
Sarpy, Franklin Delano Roosevelt, Democratic, 71.89
Saunders, Franklin Delano Roosevelt, Democratic, 67.16
Scotts Bluff, Franklin Delano Roosevelt, Democratic, 53.18
Seward, Franklin Delano Roosevelt, Democratic, 64.04
Sheridan, Franklin Delano Roosevelt, Democratic, 60.53
Sherman, Franklin Delano Roosevelt, Democratic, 72.32
Sioux, Franklin Delano Roosevelt, Democratic, 59.04
Stanton, Franklin Delano Roosevelt, Democratic, 79.96
Thayer, Franklin Delano Roosevelt, Democratic, 66.12
Thomas, Franklin Delano Roosevelt, Democratic, 60.61
Thurston, Franklin Delano Roosevelt, Democratic, 80.7
Valley, Franklin Delano Roosevelt, Democratic, 59.16
Washington, Franklin Delano Roosevelt, Democratic, 71.92
Wayne, Franklin Delano Roosevelt, Democratic, 62.78
Webster, Franklin Delano Roosevelt, Democratic, 59.97
Wheeler, Franklin Delano Roosevelt, Democratic, 72.63
York, Franklin Delano Roosevelt, Democratic, 51.72
