Ada, Franklin Delano Roosevelt, Democratic, 50.43
Adams, Franklin Delano Roosevelt, Democratic, 68.37
Bannock, Franklin Delano Roosevelt, Democratic, 63.34
Bear Lake, Herbert Clark Hoover, Republican, 50.87
Benewah, Franklin Delano Roosevelt, Democratic, 59.55
Bingham, Franklin Delano Roosevelt, Democratic, 55.85
Blaine, Franklin Delano Roosevelt, Democratic, 61.48
Boise, Franklin Delano Roosevelt, Democratic, 64.12
Bonner, Franklin Delano Roosevelt, Democratic, 63.38
Bonneville, Franklin Delano Roosevelt, Democratic, 59.6
Boundary, Franklin Delano Roosevelt, Democratic, 63.42
Butte, Franklin Delano Roosevelt, Democratic, 59.16
Camas, Franklin Delano Roosevelt, Democratic, 63.91
Canyon, Franklin Delano Roosevelt, Democratic, 53.16
Caribou, Franklin Delano Roosevelt, Democratic, 54.24
Cassia, Franklin Delano Roosevelt, Democratic, 55.6
Clark, Franklin Delano Roosevelt, Democratic, 53.99
Clearwater, Franklin Delano Roosevelt, Democratic, 66.55
Custer, Franklin Delano Roosevelt, Democratic, 64.39
Elmore, Franklin Delano Roosevelt, Democratic, 64.96
Franklin, Franklin Delano Roosevelt, Democratic, 51.39
Fremont, Franklin Delano Roosevelt, Democratic, 65.37
Gem, Franklin Delano Roosevelt, Democratic, 61.55
Gooding, Franklin Delano Roosevelt, Democratic, 53.98
Idaho, Franklin Delano Roosevelt, Democratic, 71.79
Jefferson, Franklin Delano Roosevelt, Democratic, 67.02
Jerome, Franklin Delano Roosevelt, Democratic, 60.32
Kootenai, Franklin Delano Roosevelt, Democratic, 57.4
Latah, Franklin Delano Roosevelt, Democratic, 52.64
Lemhi, Franklin Delano Roosevelt, Democratic, 61.47
Lewis, Franklin Delano Roosevelt, Democratic, 71.03
Lincoln, Franklin Delano Roosevelt, Democratic, 54.72
Madison, Franklin Delano Roosevelt, Democratic, 61.99
Minidoka, Franklin Delano Roosevelt, Democratic, 64.27
Nez Perce, Franklin Delano Roosevelt, Democratic, 68.5
Oneida, Franklin Delano Roosevelt, Democratic, 57.64
Owyhee, Franklin Delano Roosevelt, Democratic, 59.57
Payette, Franklin Delano Roosevelt, Democratic, 51.18
Power, Franklin Delano Roosevelt, Democratic, 64.86
Shoshone, Franklin Delano Roosevelt, Democratic, 59.15
Teton, Franklin Delano Roosevelt, Democratic, 55.81
Twin Falls, Franklin Delano Roosevelt, Democratic, 54.57
Valley, Franklin Delano Roosevelt, Democratic, 63.26
Washington, Franklin Delano Roosevelt, Democratic, 60.61
