Albany, Franklin Delano Roosevelt,  Democratic, 60.61
Allegany, Herbert Clark Hoover, Republican, 69.46
Bronx, Franklin Delano Roosevelt,  Democratic, 70.35
Broome, Herbert Clark Hoover, Republican, 57.97
Cattaraugus, Herbert Clark Hoover, Republican, 58.7
Cayuga, Herbert Clark Hoover, Republican, 55.66
Chautauqua, Herbert Clark Hoover, Republican, 60.62
Chemung, Herbert Clark Hoover, Republican, 57.99
Chenango, Herbert Clark Hoover, Republican, 65.27
Clinton, Franklin Delano Roosevelt,  Democratic, 56.94
Columbia, Herbert Clark Hoover, Republican, 55.74
Cortland, Herbert Clark Hoover, Republican, 67.6
Delaware, Herbert Clark Hoover, Republican, 65.32
Dutchess, Herbert Clark Hoover, Republican, 54.95
Erie, Herbert Clark Hoover, Republican, 49.86
Essex, Herbert Clark Hoover, Republican, 63.74
Franklin, Franklin Delano Roosevelt,  Democratic, 51.96
Fulton, Herbert Clark Hoover, Republican, 71.39
Genesee, Herbert Clark Hoover, Republican, 64.8
Greene, Herbert Clark Hoover, Republican, 51.43
Hamilton, Herbert Clark Hoover, Republican, 58.76
Herkimer, Herbert Clark Hoover, Republican, 56.58
Jefferson, Herbert Clark Hoover, Republican, 61.98
Kings, Franklin Delano Roosevelt,  Democratic, 66.86
Lewis, Herbert Clark Hoover, Republican, 60.03
Livingston, Herbert Clark Hoover, Republican, 62.13
Madison, Herbert Clark Hoover, Republican, 61.91
Monroe, Herbert Clark Hoover, Republican, 51.6
Montgomery, Herbert Clark Hoover, Republican, 54.09
Nassau, Herbert Clark Hoover, Republican, 54.51
New York, Franklin Delano Roosevelt,  Democratic, 66.89
Niagara, Herbert Clark Hoover, Republican, 58.33
Oneida, Herbert Clark Hoover, Republican, 50.76
Onondaga, Herbert Clark Hoover, Republican, 49.81
Ontario, Herbert Clark Hoover, Republican, 61.71
Orange, Herbert Clark Hoover, Republican, 56.39
Orleans, Herbert Clark Hoover, Republican, 67.98
Oswego, Herbert Clark Hoover, Republican, 56.9
Otsego, Herbert Clark Hoover, Republican, 64.06
Putnam, Herbert Clark Hoover, Republican, 54.43
Queens, Franklin Delano Roosevelt,  Democratic, 61.47
Rensselaer, Franklin Delano Roosevelt,  Democratic, 51.05
Richmond, Franklin Delano Roosevelt,  Democratic, 61.08
Rockland, Herbert Clark Hoover, Republican, 49.9
Saratoga, Herbert Clark Hoover, Republican, 56.97
Schenectady, Herbert Clark Hoover, Republican, 52.81
Schoharie, Herbert Clark Hoover, Republican, 53.43
Schuyler, Herbert Clark Hoover, Republican, 65.27
Seneca, Herbert Clark Hoover, Republican, 56.61
St. Lawrence, Herbert Clark Hoover, Republican, 63.48
Steuben, Herbert Clark Hoover, Republican, 62.19
Suffolk, Herbert Clark Hoover, Republican, 55.49
Sullivan, Franklin Delano Roosevelt,  Democratic, 52.15
Tioga, Herbert Clark Hoover, Republican, 65.27
Tompkins, Herbert Clark Hoover, Republican, 64.42
Ulster, Herbert Clark Hoover, Republican, 52.87
Warren, Herbert Clark Hoover, Republican, 62.99
Washington, Herbert Clark Hoover, Republican, 65.26
Wayne, Herbert Clark Hoover, Republican, 66.29
Westchester, Herbert Clark Hoover, Republican, 51.07
Wyoming, Herbert Clark Hoover, Republican, 66.33
Yates, Herbert Clark Hoover, Republican, 70.46
