Baker, Franklin Delano Roosevelt, Democratic, 66.23
Benton, Herbert Clark Hoover, Republican, 54.74
Clackamas, Franklin Delano Roosevelt, Democratic, 62.2
Clatsop, Franklin Delano Roosevelt, Democratic, 59.98
Columbia, Franklin Delano Roosevelt, Democratic, 61.36
Coos, Franklin Delano Roosevelt, Democratic, 59.21
Crook, Franklin Delano Roosevelt, Democratic, 59.78
Curry, Franklin Delano Roosevelt, Democratic, 68
Deschutes, Franklin Delano Roosevelt, Democratic, 58.6
Douglas, Franklin Delano Roosevelt, Democratic, 51.23
Gilliam, Franklin Delano Roosevelt, Democratic, 63.59
Grant, Franklin Delano Roosevelt, Democratic, 64.34
Harney, Franklin Delano Roosevelt, Democratic, 61.73
Hood River, Franklin Delano Roosevelt, Democratic, 51.75
Jackson, Franklin Delano Roosevelt, Democratic, 55.13
Jefferson, Franklin Delano Roosevelt, Democratic, 62.27
Josephine, Franklin Delano Roosevelt, Democratic, 58.9
Klamath, Franklin Delano Roosevelt, Democratic, 62.97
Lake, Franklin Delano Roosevelt, Democratic, 57.53
Lane, Franklin Delano Roosevelt, Democratic, 45.88
Lincoln, Franklin Delano Roosevelt, Democratic, 59.49
Linn, Franklin Delano Roosevelt, Democratic, 53.49
Malheur, Franklin Delano Roosevelt, Democratic, 53.94
Marion, Franklin Delano Roosevelt, Democratic, 56.84
Morrow, Franklin Delano Roosevelt, Democratic, 58.03
Multnomah, Franklin Delano Roosevelt, Democratic, 59.44
Polk, Franklin Delano Roosevelt, Democratic, 56.88
Sherman, Franklin Delano Roosevelt, Democratic, 59.8
Tillamook, Franklin Delano Roosevelt, Democratic, 57.51
Umatilla, Franklin Delano Roosevelt, Democratic, 63.43
Union, Franklin Delano Roosevelt, Democratic, 70.08
Wallowa, Franklin Delano Roosevelt, Democratic, 67.5
Wasco, Franklin Delano Roosevelt, Democratic, 59.52
Washington, Franklin Delano Roosevelt, Democratic, 59.06
Wheeler, Franklin Delano Roosevelt, Democratic, 54.25
Yamhill, Franklin Delano Roosevelt, Democratic, 55.03
